Libellé,2023,2022,2021,2020,2019,2018,2017,2016
frais_detablissement,-1156,0,0,0,0,0,0,0
concessions_brevets_et_droits_similaires,10980,0,0,2478,5844,0,0,2710
fonds_commercial,1631,1631,1631,1631,1631,0,0,1631
autres_immobilisations_incorporelles,5000,4844,0,0,0,0,0,0
constructions,3984,4997,6009,7021,8033,0,0,11607
installations_techniques_materiel_et_outillage_industriels,0,30,260,1295,2330,0,0,5133
autres_immobilisations_corporelles,44236,22058,29929,39190,52453,0,0,49210
total_i__immobilisations,64675,33560,37828,51614,70291,0,0,71935
matieres_premieres_approvisionnements,15766,13045,15400,12528,8544,0,0,4388
marchandises,278456,228625,166146,185359,156066,0,0,189771
avances_et_acomptes_verses_sur_commandes,8249,161064,526,526,0,0,0,0
clients_et_comptes_rattaches,194610,231185,193822,307786,297341,0,0,269326
autres_creances,3227859,3113848,3038614,2951261,2887843,0,0,2417914
valeurs_mobilieres_de_placement,-93546,0,0,0,0,0,0,0
disponibilites,2084925,1942045,1850042,1538141,1361520,0,0,1612059
charges_constatees_davance,46819,5976,2430,2783,88240,0,0,10448
total_ii__actif_circulant,5763137,5695789,5266981,4998384,4799554,0,0,4503906
total_general__actif,5827813,5729348,5304809,5049998,4869845,0,0,4575841
capital_social_ou_individuel,34301,34301,34301,34301,34301,0,0,34301
reserve_legale,3444,3444,3444,3444,3444,0,0,3444
reserves_statutaires_ou_contractuelles,52705,52705,52705,52705,52705,0,0,52705
report_a_nouveau,3787927,3611591,3480301,3331275,3313742,0,0,3016628
resultat_de_lexercice_benefice_ou_perte,105596,216836,171790,189526,58033,0,0,121441
total_i__capital_social,3983973,3918877,3742540,3611250,3462224,0,0,3228519
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,206,73,117,104,0,0,0
emprunts_et_dettes_financieres_divers,1583136,1526134,1367708,1193892,1187703,0,0,1014393
avances_et_acomptes_recus_sur_commandes_en_cours,4549,0,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,68812,99454,19252,99169,113860,0,0,258245
dettes_fiscales_et_sociales,65843,103678,134736,91690,53575,0,0,56567
autres_dettes,121500,81000,40500,53881,52378,0,0,18116
total_iv__dettes,1843840,1810472,1562269,1438747,1407621,0,0,1347322
total_general__passif,5827813,5729348,5304809,5049998,4869845,0,0,4575841
emprunts_participatifs,1583136,0,0,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,1407621,0,0,1347322
autres_participations,0,0,0,0,0,0,0,1645
