Libellé,2023,2022,2021,2020,2019,2018,2017,2016
immobilisations_incorporelles__fonds_commercial,0,76,76,76,0,0,0,76
immobilisations_incorporelles__autres,0,1099,2423,3747,0,0,0,0
immobilisations_corporelles,0,73317,60999,61440,0,0,0,2205
immobilisations_financieres,0,960,960,960,0,0,0,1540
total_actif_immobilise,0,75452,64459,66223,0,0,0,3821
matieres_premieres_approvisionnements_en_cours_de_production,0,63929,63425,32844,0,0,0,90934
creances__clients_et_comptes_rattaches,0,298945,340394,264640,0,0,0,21967
creances__autres,0,27728,105478,111914,0,0,0,81848
disponibilites,258891,81396,163046,250900,0,0,0,93791
charges_constatees_davance,0,0,519,89,0,0,0,0
total_actif_circulant__charges_constatees_davance,0,622000,672862,660387,0,0,0,288540
total_general_actif,0,697452,737320,726610,0,0,0,292361
capital_social_ou_individuel,32050,89539,89539,89539,0,0,0,89539
reserve_legale,43974,43974,43974,43974,0,0,0,43974
autres_reserves,74366,80076,50372,50372,0,0,0,50372
report_a_nouveau,0,0,123089,65665,0,0,0,7437
resultat_de_lexercice,0,145250,57576,57424,0,0,0,3489
provisions_reglementees,0,31855,32332,32332,0,0,0,0
total_des_capitaux_propres__total_i,0,390693,396881,339305,0,0,0,194810
provisions_pour_risques_et_charges__total_ii,0,60759,60759,65759,0,0,0,5000
emprunts_et_dettes_assimilees,0,68780,83187,88416,0,0,0,0
fournisseurs_et_comptes_rattaches,0,62341,118136,101802,0,0,0,20809
autres_dettes_dont_comptes_courant_dassocies_de_lexercice_n,0,0,0,0,0,0,0,0
autres_dettes,11394,114879,78358,131328,0,0,0,71742
total_des_dettes,0,246000,279681,321547,0,0,0,92551
total_general_passif,0,697452,737320,726610,0,0,0,292361
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
fonds_commercial,76,0,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,174,0,0,0,0,0,0,0
autres_immobilisations_corporelles,53755,0,0,0,0,0,0,0
autres_immobilisations_financieres,960,0,0,0,0,0,0,0
total_i__immobilisations,54966,0,0,0,0,0,0,0
en_cours_de_production_de_biens,68067,0,0,0,0,0,0,0
clients_et_comptes_rattaches,485935,0,0,0,0,0,0,0
autres_creances,43818,0,0,0,0,0,0,0
valeurs_mobilieres_de_placement,0,150000,0,0,0,0,0,0
total_ii__actif_circulant,856712,0,0,0,0,0,0,0
total_general__actif,911677,0,0,0,0,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
primes_demission_de_fusion_dapport,57489,0,0,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,283047,0,0,0,0,0,0,0
subventions_dinvestissement,0,0,0,0,0,0,0,0
total_i__capital_social,490925,0,0,0,0,0,0,0
provisions_pour_risques,24118,0,0,0,0,0,0,0
total_iii__provisions,24118,0,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,49129,0,0,0,0,0,0,0
emprunts_et_dettes_financieres_divers,10666,0,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,209893,0,0,0,0,0,0,0
dettes_fiscales_et_sociales,115553,0,0,0,0,0,0,0
total_iv__dettes,396634,0,0,0,0,0,0,0
total_general__passif,911677,0,0,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,367788,0,0,0,0,0,0,0
