Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises__france,0,0,0,0,0,0,0,614954
production_vendue_de_services__france,0,0,0,0,0,0,0,216
production_stockee,0,0,0,0,0,0,0,-17438
subventions_dexploitation_recues,0,0,0,0,0,0,0,12000
autres_produits,0,0,0,0,0,0,0,2488
total_des_produits_dexploitation_hors_tva,0,0,0,0,0,0,0,612220
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,11146
variation_de_stock_matieres_premieres_et_approvisionnement,0,0,0,0,0,0,0,0
autres_charges_externes,0,0,0,0,0,0,0,508132
dont_taxe_professionnelle,0,0,0,0,0,0,0,676
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,17049
remunerations_du_personnel,0,0,0,0,0,0,0,35309
charges_sociales,0,0,0,0,0,0,0,31851
dotations_aux_amortissements,0,0,0,0,0,0,0,1442
dotations_aux_provisions,0,0,0,0,0,0,0,0
autres_charges,0,0,0,0,0,0,0,3786
total_des_charges_dexploitation,0,0,0,0,0,0,0,608715
resultat_dexploitation,0,0,0,0,0,0,0,3505
produits_financiers,0,0,0,0,0,0,0,643
charges_financieres,0,0,0,0,0,0,0,157
charges_exceptionnelles,0,0,0,0,0,0,0,0
impots_sur_les_benefices,0,0,0,0,0,0,0,503
benefice_ou_perte,0,0,0,0,0,0,0,3489
montant_de_la_tva_collectee,0,0,253694,0,0,0,0,0
montant_de_la_tva_deductible_sur_biens_et_services,0,0,206318,0,0,0,0,0
effectif_moyen_du_personnel,0,0,2,0,0,0,0,0
