Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,34445,34445,34445,34445
fonds_commercial,0,0,0,0,0,0,0,0
autres_immobilisations_incorporelles,0,0,0,0,84181,73939,6337,6337
avances_et_acomptes_sur_immobilisations_incorporelles,0,0,0,0,0,0,29713,4824
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,0,0,0,1364,3519,8405,35245
immobilisations_en_cours,0,0,0,0,0,0,0,11444
autres_participations,0,0,0,0,0,915,915,915
prets,0,0,0,0,0,0,0,500
autres_immobilisations_financieres,0,0,0,0,36043,30043,30043,30043
total_i__immobilisations,0,0,0,0,156033,142860,109857,123752
marchandises,0,0,0,0,1178486,1392927,1721750,1652091
avances_et_acomptes_verses_sur_commandes,0,0,0,0,409519,248449,288992,149076
clients_et_comptes_rattaches,0,0,0,0,1669275,1313382,1455085,2056161
autres_creances,0,0,0,0,532305,335286,378861,210247
disponibilites,0,0,0,0,114754,169320,56433,103667
charges_constatees_davance,0,0,0,0,59555,281754,144830,49034
total_ii__actif_circulant,0,0,0,0,3963897,3741119,4045952,4220275
ecarts_de_conversion_actif,0,0,0,0,31844,15366,81873,46216
total_general__actif,0,0,0,0,4151773,3899345,4237682,4390244
capital_social_ou_individuel,0,0,0,0,1824160,1824160,1824160,1824160
primes_demission_de_fusion_dapport,0,0,0,0,244363,244363,244363,244363
reserve_legale,0,0,0,0,201129,201129,201129,201129
reserves_reglementees,0,0,0,0,86735,86735,86735,86735
report_a_nouveau,0,0,0,0,-1340319,-1519194,-862781,-756333
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,101322,178875,-656413,-106449
provisions_reglementees,0,0,0,0,0,0,507,537
total_i__capital_social,0,0,0,0,1117390,1016068,837700,1494143
provisions_pour_risques,0,0,0,0,76844,135366,90327,54958
total_iii__provisions,0,0,0,0,76844,135366,90327,54958
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,1723,1748,3028,1663
emprunts_et_dettes_financieres_divers,0,0,0,0,270259,195012,202104,184142
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,178403,159407,454836,231934
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,1925397,1657947,2314200,1929051
dettes_fiscales_et_sociales,0,0,0,0,396758,490276,211814,280588
autres_dettes,0,0,0,0,173200,171350,115388,162785
total_iv__dettes,0,0,0,0,2943741,2675740,3301369,2790163
dettes_diverses,0,0,0,0,13799,72171,8286,50979
total_general__passif,0,0,0,0,4151773,3899345,4237682,4390244
