Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,6424,0,0,9140,0,0,0
autres_immobilisations_corporelles,0,15999,0,0,8363,0,0,0
autres_titres_immobilises,0,1563,0,0,1547,0,0,0
total_i__immobilisations,0,23986,0,0,19050,0,0,0
marchandises,0,724330,0,0,384505,0,0,0
avances_et_acomptes_verses_sur_commandes,0,7380,0,0,75423,0,0,0
clients_et_comptes_rattaches,0,607910,0,0,195427,0,0,0
autres_creances,0,65130,0,0,27254,0,0,0
disponibilites,0,10805,0,0,28817,0,0,0
charges_constatees_davance,0,87227,0,0,19472,0,0,0
total_ii__actif_circulant,0,1502783,0,0,730898,0,0,0
total_general__actif,0,1526769,0,0,749949,0,0,0
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,0,249063,0,0,249063,0,0,0
reserve_legale,0,24906,0,0,22418,0,0,0
autres_reserves,0,439566,0,0,360896,0,0,0
report_a_nouveau,0,0,0,0,-218989,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,-44156,0,0,64390,0,0,0
total_i__capital_social,0,669379,0,0,477778,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,265462,0,0,36658,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,336428,0,0,164926,0,0,0
dettes_fiscales_et_sociales,0,227756,0,0,63494,0,0,0
autres_dettes,0,27743,0,0,7094,0,0,0
total_iv__dettes,0,857390,0,0,272171,0,0,0
total_general__passif,0,1526769,0,0,749949,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,681326,0,0,266973,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,11476,0,0,95,0,0,0
