Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,1502990,0,0,0
chiffres_daffaires_nets,0,0,0,0,1502990,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,140110,0,0,0
autres_produits,0,0,0,0,146,0,0,0
total_des_produits_dexploitation_i,0,0,0,0,1643247,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,786208,0,0,0
variation_de_stock_marchandises,0,0,0,0,-74198,0,0,0
autres_achats_et_charges_externes,0,0,0,0,239891,0,0,0
impots_taxes_et_versements_assimiles,0,0,0,0,5839,0,0,0
salaires_et_traitements,0,0,0,0,343037,0,0,0
charges_sociales,0,0,0,0,108836,0,0,0
dot_dexploit__dotations_aux_amortissements,0,0,0,0,7923,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,139599,0,0,0
autres_charges,0,0,0,0,14462,0,0,0
total_des_charges_dexploitation_ii,0,0,0,0,1571598,0,0,0
_resultat_dexploitation_i__ii,0,0,0,0,71649,0,0,0
autres_interets_et_produits_assimiles,0,0,0,0,20,0,0,0
differences_positives_de_change,0,0,0,0,97,0,0,0
total_des_produits_financiers_v,0,0,0,0,117,0,0,0
interets_et_charges_assimilees,0,0,0,0,4176,0,0,0
differences_negatives_de_change,0,0,0,0,671,0,0,0
total_des_charges_financieres_vi,0,0,0,0,4848,0,0,0
_resultat_financier_v__vi,0,0,0,0,-4731,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,66918,0,0,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,1228,0,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,1228,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,3756,0,0,0
total_des_charges_exceptionnelles_viii,0,0,0,0,3756,0,0,0
_resultat_exceptionnel_vii__viii,0,0,0,0,-2528,0,0,0
total_des_produits_i__iii__v__vii,0,0,0,0,1644591,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,1580201,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,64390,0,0,0
