Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
fonds_commercial,882718,0,882718,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,44637,0,11938,0,0,0,0,0
autres_immobilisations_corporelles,511915,0,649082,0,0,0,0,0
autres_titres_immobilises,6657,0,9060,0,0,0,0,0
autres_immobilisations_financieres,602,0,601,0,0,0,0,0
total_i__immobilisations,1446529,0,1553402,0,0,0,0,0
marchandises,2800088,0,2561791,0,0,0,0,0
avances_et_acomptes_verses_sur_commandes,310,0,12397,0,0,0,0,0
clients_et_comptes_rattaches,6470,0,15174,0,0,0,0,0
autres_creances,11069,0,42733,0,0,0,0,0
disponibilites,38117,0,510867,0,0,0,0,0
charges_constatees_davance,16496,0,23375,0,0,0,0,0
total_ii__actif_circulant,2872550,0,3166339,0,0,0,0,0
total_general__actif,4319079,0,4719741,0,0,0,0,0
capital_social_ou_individuel,1000800,0,1000800,0,0,0,0,0
primes_demission_de_fusion_dapport,266786,0,266785,0,0,0,0,0
reserve_legale,100080,0,55600,0,0,0,0,0
autres_reserves,1426899,0,724912,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,17462,0,374467,0,0,0,0,0
total_i__capital_social,2812028,0,2422565,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,1123461,0,1396971,0,0,0,0,0
emprunts_et_dettes_financieres_divers,13563,0,122972,0,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,68209,0,86071,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,166776,0,491720,0,0,0,0,0
dettes_fiscales_et_sociales,135042,0,199055,0,0,0,0,0
total_iv__dettes,1507051,0,2297175,0,0,0,0,0
total_general__passif,4319079,0,4719741,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,692681,0,1001752,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,27203,0,0,0,0,0,0,0
emprunts_participatifs,13563,0,0,0,0,0,0,0
autres_dettes,0,0,385,0,0,0,0,0
