Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,8084920,7343859,6981153,5853154,7294795,7675286,0,0
production_vendue_biens,1073881,1078122,458102,0,0,0,0,0
production_vendue_services,117101,111720,95539,81506,110327,133834,0,0
chiffres_daffaires_nets,9275902,8533702,7534794,5934660,7405123,7809120,0,0
production_stockee,15903,-41604,-65031,0,0,0,0,0
subventions_dexploitation,0,805,125747,2095,0,5000,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,667022,744732,807577,271172,351380,144897,0,0
autres_produits,2159,85,1723,4935,125,46,0,0
total_des_produits_dexploitation_i,9960986,9237721,8404810,6212862,7797839,8034544,0,0
achats_de_marchandises_y_compris_droits_de_douane,3028853,2909925,2454620,2534557,3144779,3199956,0,0
variation_de_stock_marchandises,-153273,-98383,345709,21613,-72474,-52915,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,763000,656289,489242,224167,368097,454174,0,0
variation_de_stock_matieres_premieres_et_approvisionnements,-38856,-52963,-39274,87795,103637,-45871,0,0
autres_achats_et_charges_externes,2198221,2037780,1796236,1456055,1764834,1751892,0,0
impots_taxes_et_versements_assimiles,92472,81945,63605,49910,63823,77561,0,0
salaires_et_traitements,1686805,1724563,1381312,980713,1182325,1226608,0,0
charges_sociales,613702,617357,458253,382043,416687,451224,0,0
dot_dexploit__dotations_aux_amortissements,190575,203521,157766,138175,144207,154918,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,915523,621771,687464,254359,249378,294542,0,0
autres_charges,6259,17478,4273,1126,13991,15577,0,0
total_des_charges_dexploitation_ii,9303279,8719284,7799206,6130512,7379283,7527666,0,0
_resultat_dexploitation_i__ii,657707,518436,605604,82350,418555,506878,0,0
produits_financiers_de_participations,200000,0,25800,200000,58352,30007,0,0
autres_interets_et_produits_assimiles,3036,1,20,2,327,87,0,0
reprises_sur_provisions_et_transferts_de_charges,3827,6734,3209,0,4556,107729,0,0
differences_positives_de_change,859,669,1,0,0,2461,0,0
total_des_produits_financiers_v,207722,7404,29029,200002,63235,32555,0,0
dotations_financieres_sur_amortissements_et_provisions,6,3827,6734,0,0,4556,0,0
interets_et_charges_assimilees,36813,36291,35130,21134,72436,93103,0,0
differences_negatives_de_change,312,746,0,0,0,246,0,0
total_des_charges_financieres_vi,37131,40863,41864,21134,72436,97905,0,0
_resultat_financier_v__vi,170591,-33459,-12835,178867,-9201,-65350,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,828299,484977,592769,261217,409354,441527,0,0
produits_exceptionnels_sur_operations_de_gestion,7285,4107,1775,8177,1613,1263,0,0
produits_exceptionnels_sur_operations_en_capital,82769,21615,147939,3273,4557,24471,0,0
total_des_produits_exceptionnels_vii,90054,25722,149714,11451,6170,133463,0,0
charges_exceptionnelles_sur_operations_de_gestion,47636,416,33,2380,6167,11951,0,0
charges_exceptionnelles_sur_operations_en_capital,89373,115208,432615,11279,10182,53510,0,0
total_des_charges_exceptionnelles_viii,137010,115624,432648,13659,16349,65461,0,0
_resultat_exceptionnel_vii__viii,-46955,-89901,-282934,-2209,-10179,68002,0,0
total_des_produits_i__iii__v__vii,10258762,9270847,8583553,6424314,7867244,8200562,0,0
total_des_charges_ii__iv__vi__viii__ix__x,9552316,8875771,8273718,6165306,7468069,7691032,0,0
benefice_ou_perte_total_des_produits__total_des_charges,706446,395076,309835,259008,399175,509529,0,0
production_immobilisee,0,0,0,0,41211,75481,0,0
participation_des_salaries_aux_resultats_de_lentreprise,7808,0,0,0,0,0,0,0
impots_sur_les_benefices,67089,0,0,0,0,0,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,0,0,0,0,0,0
