Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,400,995,1869,611,0
installations_techniques_materiel_et_outillage_industriels,0,0,48938,63227,66018,79935,67511,54371
autres_immobilisations_corporelles,0,0,156534,76266,112470,157346,200820,243584
prets,0,0,0,0,0,0,3994,6361
autres_immobilisations_financieres,0,0,18541,67957,51992,51992,51901,50289
total_i__immobilisations,0,0,248815,208600,231475,291141,324839,354605
marchandises,0,0,2330186,1975247,2190620,1993467,2145797,1870918
avances_et_acomptes_verses_sur_commandes,0,0,90826,20428,576718,572825,38690,205480
clients_et_comptes_rattaches,0,0,404034,188029,394409,699827,824284,840166
autres_creances,0,0,73116,75404,93236,121778,247811,155961
disponibilites,0,0,941043,945698,408675,403120,300142,492169
charges_constatees_davance,0,0,36777,39138,24019,41278,31379,64931
total_ii__actif_circulant,0,0,3875983,3243944,3687677,3832294,3588103,3629626
ecarts_de_conversion_actif,0,0,5798,5898,26269,16836,11742,14971
total_general__actif,0,0,4130595,3458442,3945421,4140271,3924685,3999204
capital_social_ou_individuel,0,0,45000,45000,45000,45000,45000,45000
reserve_legale,0,0,4500,4500,4500,4500,4500,4500
autres_reserves,0,0,1336564,1336564,1336564,1336564,1336564,1160509
report_a_nouveau,0,0,-58833,475260,587571,773958,796172,796172
resultat_de_lexercice_benefice_ou_perte,0,0,1185186,-534093,-112311,-186387,-22214,176054
total_i__capital_social,0,0,2630417,1445232,1979324,1973635,2160021,2182236
provisions_pour_risques,0,0,5798,5898,26269,16836,38402,41631
total_iii__provisions,0,0,5798,5898,26269,16836,38402,41631
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,675527,736460,45177,75103,125115,130493
emprunts_et_dettes_financieres_divers,0,0,235005,348827,409345,464279,592167,504353
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,576672,565880,0,36000
dettes_fournisseurs_et_comptes_rattaches,0,0,448951,400906,800566,859192,766948,831381
dettes_fiscales_et_sociales,0,0,132261,90972,80179,167040,202505,236280
autres_dettes,0,0,0,400000,3493,8053,23728,23728
total_iv__dettes,0,0,1491745,1977168,1915432,2139547,1710464,1762237
dettes_diverses,0,0,2636,30147,24396,10252,15796,13098
total_general__passif,0,0,4130595,3458442,3945421,4140271,3924685,3999204
subventions_dinvestissement,0,0,118000,118000,118000,0,0,0
avances_et_acomptes,0,0,24802,750,0,0,0,0
emprunts_participatifs,0,0,0,348129,0,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,1244023,1646281
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,0,1159,32
