Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,7049007,1040177,3910405,4569000,6599428,5862612
production_vendue_biens,0,0,113762,127091,147546,160037,0,0
chiffres_daffaires_nets,0,0,7162769,1167268,4057951,4729037,6778811,6116703
autres_produits,0,0,2236,411,260,26706,107,153
total_des_produits_dexploitation_i,0,0,7183005,1176700,4058898,4755744,6780376,6125993
achats_de_marchandises_y_compris_droits_de_douane,0,0,5880757,505872,2893812,2981224,5261122,4404777
variation_de_stock_marchandises,0,0,-391786,215373,-197153,152330,-274879,-320571
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,1447,0,159,870,379,613
autres_achats_et_charges_externes,0,0,551511,359478,532254,698724,792264,698874
impots_taxes_et_versements_assimiles,0,0,28012,12079,26720,29046,38645,35134
salaires_et_traitements,0,0,541667,392272,590942,785399,720926,707131
charges_sociales,0,0,268996,195201,307589,387891,354660,317429
dot_dexploit__dotations_aux_provisions,0,0,0,58530,0,63174,0,0
autres_charges,0,0,1203,1881,204,2709,1,0
total_des_charges_dexploitation_ii,0,0,6921961,1740686,4216719,5101368,6954557,5896244
_resultat_dexploitation_i__ii,0,0,261044,-563986,-157821,-345625,-174180,229748
total_des_produits_financiers_v,0,0,152543,60029,46422,69680,165651,104549
total_des_charges_financieres_vi,0,0,61788,50320,71875,83503,141857,77122
_resultat_financier_v__vi,0,0,90754,9709,-25454,-13823,23793,27427
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,351798,-554277,-183274,-359447,-150387,257176
total_des_produits_exceptionnels_vii,0,0,850363,0,21084,103116,0,0
total_des_charges_exceptionnelles_viii,0,0,51092,5576,180,450,462,4539
_resultat_exceptionnel_vii__viii,0,0,799271,-5576,20904,102666,-462,-4539
impots_sur_les_benefices,0,0,-34116,-25761,-50059,-70395,-128635,76583
benefice_ou_perte_total_des_produits__total_des_charges,0,0,1185186,-534093,-112311,-186387,-22214,176054
subventions_dexploitation,0,0,18000,9021,688,0,0,0
dot_dexploit__dotations_aux_amortissements,0,0,40153,0,62191,0,61436,52853
total_des_produits_i__iii__v__vii,0,0,8185911,1236729,4126404,0,6946027,6230543
total_des_charges_ii__iv__vi__viii__ix__x,0,0,7000725,1770822,4238715,0,6968242,6054489
production_vendue_services,0,0,0,0,0,0,179383,254090
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,1456,9137
produits_des_autres_valeurs_mobilieres_et_creances_de_lactif_immobilise,0,0,0,0,0,0,97,164
autres_interets_et_produits_assimiles,0,0,0,0,0,0,97,0
reprises_sur_provisions_et_transferts_de_charges,0,0,0,0,0,0,14971,22735
differences_positives_de_change,0,0,0,0,0,0,150464,81650
dotations_financieres_sur_amortissements_et_provisions,0,0,0,0,0,0,11742,14971
interets_et_charges_assimilees,0,0,0,0,0,0,18733,8875
differences_negatives_de_change,0,0,0,0,0,0,111382,53275
charges_nettes_sur_cessions_de_valeurs_mobilieres_de_placement,0,0,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,130,17
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,0,0,332,4522
