Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,3137954,3170759,3433893,0
production_vendue_services,0,0,0,0,64522,57537,54366,0
chiffres_daffaires_nets,0,0,0,0,3202476,3228297,3488259,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,221327,30049,122948,0
autres_produits,0,0,0,0,363,4958,325,0
total_des_produits_dexploitation_i,0,0,0,0,3424166,3263303,3611531,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,1233031,1629371,1599307,0
variation_de_stock_marchandises,0,0,0,0,243276,-121263,103042,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,4988,6318,5948,0
autres_achats_et_charges_externes,0,0,0,0,715005,793327,824364,0
impots_taxes_et_versements_assimiles,0,0,0,0,27406,31373,40996,0
salaires_et_traitements,0,0,0,0,608257,637560,737206,0
charges_sociales,0,0,0,0,229160,238259,274278,0
dot_dexploit__dotations_aux_amortissements,0,0,0,0,30502,40043,42158,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,3568,42730,26600,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,0,0,0,0,2490,0,0
autres_charges,0,0,0,0,41924,35145,74764,0
total_des_charges_dexploitation_ii,0,0,0,0,3137118,3335354,3728664,0
_resultat_dexploitation_i__ii,0,0,0,0,287049,-72051,-117133,0
autres_interets_et_produits_assimiles,0,0,0,0,1,0,0,0
differences_positives_de_change,0,0,0,0,177,0,16240,0
total_des_produits_financiers_v,0,0,0,0,178,0,26770,0
interets_et_charges_assimilees,0,0,0,0,21759,18155,30358,0
total_des_charges_financieres_vi,0,0,0,0,21759,18155,45381,0
_resultat_financier_v__vi,0,0,0,0,-21581,-18155,-18611,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,265468,-90206,-135744,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,620,22281,34918,0
reprises_sur_provisions_et_transferts_de_charges,0,0,0,0,1911,2540,13038,0
total_des_produits_exceptionnels_vii,0,0,0,0,2531,24820,37426,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,34472,5818,12050,0
total_des_charges_exceptionnelles_viii,0,0,0,0,34472,5818,14404,0
_resultat_exceptionnel_vii__viii,0,0,0,0,-31941,19003,23022,0
impots_sur_les_benefices,0,0,0,0,40027,0,-54097,0
total_des_produits_i__iii__v__vii,0,0,0,0,3426875,3288124,3675727,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,3233376,3359327,3734352,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,193500,-71203,-58625,0
dotations_financieres_sur_amortissements_et_provisions,0,0,0,0,0,0,646,0
differences_negatives_de_change,0,0,0,0,0,0,14377,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,0,0,0,0,2354,0
