Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,12979,12979,12319,10921,10921,0
fonds_commercial,0,0,4573,4573,4573,4573,4573,0
installations_techniques_materiel_et_outillage_industriels,0,0,3545,0,0,0,0,0
autres_immobilisations_corporelles,0,0,4058,11732,13071,14409,16218,0
autres_titres_immobilises,0,0,2576,2576,2576,2576,2576,0
autres_immobilisations_financieres,0,0,30,30,30,30,30,0
total_i__immobilisations,0,0,27762,31890,32569,32511,34319,0
marchandises,0,0,304251,340396,352211,367754,368431,0
clients_et_comptes_rattaches,0,0,167878,104198,95961,89115,88683,0
autres_creances,0,0,61816,5573,7566,4712,5369,0
valeurs_mobilieres_de_placement,0,0,4912,4912,4912,4912,4912,0
disponibilites,0,0,81754,78277,8659,12334,22555,0
total_ii__actif_circulant,0,0,620612,533357,469309,478827,489950,0
total_general__actif,0,0,648374,565247,501878,511338,524269,0
capital_social_ou_individuel,0,0,95000,95000,95000,95000,95000,0
reserve_legale,0,0,5200,5200,5200,5200,5200,0
report_a_nouveau,0,0,90024,89407,89407,86833,83363,0
resultat_de_lexercice_benefice_ou_perte,0,0,553,617,134,2574,3469,0
total_i__capital_social,0,0,190777,190224,189741,189607,187033,0
emprunts_et_dettes_financieres_divers,0,0,351016,319382,296442,308566,323086,0
dettes_fournisseurs_et_comptes_rattaches,0,0,7066,6729,3477,2899,4653,0
dettes_fiscales_et_sociales,0,0,16884,12913,12220,10266,9497,0
autres_dettes,0,0,82630,0,0,0,0,0
total_iv__dettes,0,0,457597,375023,312137,321731,337236,0
total_general__passif,0,0,648374,565247,501878,511338,524269,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,457597,0,0,321731,337236,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,36000,0,0,0,0
