Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,223622,149223,73531,63101,48713,0
chiffres_daffaires_nets,0,0,223622,149223,73531,63101,48713,0
subventions_dexploitation,0,0,1617,0,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,2,5734,0,0,0,0
autres_produits,0,0,399,901,216,2000,3203,0
total_des_produits_dexploitation_i,0,0,225639,155859,73746,65102,51916,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,62141,60162,11368,11408,8699,0
variation_de_stock_marchandises,0,0,36145,11815,15543,677,10104,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,214,108,117,0,0,0
autres_achats_et_charges_externes,0,0,41712,44801,38968,31853,41715,0
impots_taxes_et_versements_assimiles,0,0,879,1258,1090,1596,957,0
salaires_et_traitements,0,0,38718,34807,38237,40873,38581,0
charges_sociales,0,0,18189,13518,18930,19355,16618,0
dot_dexploit__dotations_aux_amortissements,0,0,1588,1339,1339,2521,2644,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,26442,0,0,0,0,0
autres_charges,0,0,963,1324,495,0,45,0
total_des_charges_dexploitation_ii,0,0,226992,169132,126086,108283,119364,0
_resultat_dexploitation_i__ii,0,0,-1354,-13274,-52340,-43181,-67448,0
interets_et_charges_assimilees,0,0,195,0,2,172,97,0
total_des_charges_financieres_vi,0,0,195,0,2,172,97,0
_resultat_financier_v__vi,0,0,-195,0,-2,-48,-97,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,-1549,-13274,-52342,-43229,-67545,0
produits_exceptionnels_sur_operations_en_capital,0,0,11000,14000,52500,45850,71500,0
total_des_produits_exceptionnels_vii,0,0,11000,14000,52500,45850,71500,0
charges_exceptionnelles_sur_operations_en_capital,0,0,8800,0,0,0,0,0
total_des_charges_exceptionnelles_viii,0,0,8800,0,0,0,450,0
_resultat_exceptionnel_vii__viii,0,0,2200,14000,52500,45850,71050,0
impots_sur_les_benefices,0,0,98,109,24,47,36,0
total_des_produits_i__iii__v__vii,0,0,236639,169859,126246,111076,123416,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,236085,169241,126112,108502,119947,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,553,617,134,2574,3469,0
autres_interets_et_produits_assimiles,0,0,0,0,0,125,0,0
total_des_produits_financiers_v,0,0,0,0,0,125,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,450,0
