Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,132,452,771,1091,0,2648,0
fonds_commercial,0,60980,60980,60980,60980,60980,60980,0
terrains,0,7000,7000,7000,7000,7000,7000,0
constructions,0,24506,26506,28506,30506,32506,34506,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,3585,4812,435,1441,3723,8765,0
autres_participations,0,95440,95440,95440,95440,95440,95440,0
creances_rattachees_a_des_participations,0,1170166,3146757,3142772,3086436,3042034,3009740,0
autres_immobilisations_financieres,0,25923,25923,25923,25923,25923,25923,0
total_i__immobilisations,0,1387732,3367870,3309665,3308815,3267606,3245002,0
marchandises,0,8956673,6538082,5176496,6020552,5425567,4998627,0
clients_et_comptes_rattaches,0,10314229,9356629,8852769,7588426,5376649,4865604,0
autres_creances,0,487273,93801,503042,1161660,1423095,163507,0
disponibilites,0,4758725,4199832,4088678,2475757,3170763,3475158,0
charges_constatees_davance,0,31656,26347,230794,54131,21715,70355,0
total_ii__actif_circulant,0,25291514,20837685,19098063,17300526,15417790,15298625,0
ecarts_de_conversion_actif,0,14010,0,16129,12641,9154,40300,0
total_general__actif,0,26693256,24205554,22423856,20621982,18694549,18583927,0
capital_social_ou_individuel,0,530000,530000,530000,530000,530000,530000,0
reserve_legale,0,53000,53000,53000,53000,53000,53000,0
autres_reserves,0,634257,634257,634257,634257,634257,634257,0
report_a_nouveau,0,21372535,19291128,18254613,16690368,15528884,14578306,0
resultat_de_lexercice_benefice_ou_perte,0,2199488,2081407,1536515,1564245,1161483,1379219,0
total_i__capital_social,0,24789280,22589792,21008385,19471870,17907625,17174782,0
provisions_pour_risques,0,14010,0,16129,12641,9154,0,0
total_iii__provisions,0,14010,0,16129,12641,9154,0,0
emprunts_et_dettes_financieres_divers,0,353891,356706,6706,6706,6706,13516,0
dettes_fournisseurs_et_comptes_rattaches,0,58792,399085,291655,34309,22455,594782,0
dettes_fiscales_et_sociales,0,728147,293289,620242,715567,388168,313820,0
autres_dettes,0,749102,565776,476234,380766,360439,483901,0
total_iv__dettes,0,1889966,1614890,1394838,1137349,777768,1406630,0
dettes_diverses,0,0,872,4505,122,2,2516,0
total_general__passif,0,26693256,24205554,22423856,20621982,18694549,18583927,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,1889966,1614890,1394838,1137349,777763,1406630,0
autres_titres_immobilises,0,0,0,-52162,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,742958,622994,246285,0,0,1725374,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,34,34,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,607,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,0,607,0
