Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,24597512,16743680,15002867,15208243,13577148,12852278,0
production_vendue_services,0,220088,194672,171311,164674,195200,125493,0
chiffres_daffaires_nets,0,24817601,16938352,15174178,15372917,13772348,12977771,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,9995,98113,10462,25659,434,817,0
autres_produits,0,21,486,10,102,313,192,0
total_des_produits_dexploitation_i,0,24827617,17226485,15184649,15398678,13773095,12978780,0
achats_de_marchandises_y_compris_droits_de_douane,0,17633968,11306933,8229140,9505372,10345177,7573233,0
variation_de_stock_marchandises,0,-2418590,-1361586,844056,-594985,-426939,-1308386,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,5628817,3554426,3411460,3233591,1122804,3585649,0
autres_achats_et_charges_externes,0,326608,399600,275019,360199,373821,394054,0
impots_taxes_et_versements_assimiles,0,46230,42769,61375,62189,54666,65783,0
salaires_et_traitements,0,605610,514053,465480,514310,477588,532743,0
charges_sociales,0,123571,100140,94155,119712,120048,144743,0
dot_dexploit__dotations_aux_amortissements,0,3546,3232,3325,4470,9690,14786,0
total_des_charges_dexploitation_ii,0,21949759,14559566,13384011,13204857,12076854,11002605,0
_resultat_dexploitation_i__ii,0,2877858,2666918,1800638,2193821,1696241,1976175,0
produits_financiers_de_participations,0,22616,0,34239,38033,33179,42260,0
reprises_sur_provisions_et_transferts_de_charges,0,0,68290,0,9154,0,335,0
differences_positives_de_change,0,63363,15301,338720,5897,10438,20873,0
total_des_produits_financiers_v,0,85979,83591,385600,53084,43617,67587,0
dotations_financieres_sur_amortissements_et_provisions,0,14010,0,68290,12641,9154,0,0
differences_negatives_de_change,0,57275,30692,35788,17572,48303,38703,0
total_des_charges_financieres_vi,0,71286,30692,104078,30213,57956,38703,0
_resultat_financier_v__vi,0,14694,52899,281522,22871,-14339,28884,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,2892551,2719818,2082160,2216692,1681902,2005059,0
charges_exceptionnelles_sur_operations_de_gestion,0,36,50,87,718,3645,2506,0
total_des_charges_exceptionnelles_viii,0,36,50,87,718,3645,2506,0
_resultat_exceptionnel_vii__viii,0,165,7350,29481,-718,3196,-2305,0
impots_sur_les_benefices,0,693229,645761,575126,651728,523615,623535,0
total_des_produits_i__iii__v__vii,0,24913797,17317476,15599817,15451762,13823554,13046568,0
total_des_charges_ii__iv__vi__viii__ix__x,0,22714310,15236069,14063302,13887516,12662070,11667349,0
benefice_ou_perte_total_des_produits__total_des_charges,0,2199488,2081407,1536515,1564245,1161483,1379219,0
produits_exceptionnels_sur_operations_de_gestion,0,201,7400,20068,0,6841,201,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,9500,0,0,0,0
total_des_produits_exceptionnels_vii,0,201,7400,29568,0,6841,201,0
subventions_dexploitation,0,0,189533,0,0,0,0,0
autres_charges,0,0,0,0,0,0,1,0
produits_des_autres_valeurs_mobilieres_et_creances_de_lactif_immobilise,0,0,0,0,0,0,879,0
produits_nets_sur_cessions_de_valeurs_mobilieres_de_placement,0,0,0,0,0,0,3240,0
