Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,16286,5116,16788,0,0,775,1815
fonds_commercial,0,219421,219421,219421,0,0,810581,810581
autres_immobilisations_incorporelles,0,22808,121333,109350,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,6404,18281,0,0,54057,0
autres_immobilisations_corporelles,0,177679,134079,212162,0,0,165253,177043
autres_immobilisations_financieres,0,1070,1070,2070,0,0,2530,2530
total_i__immobilisations,0,437264,487422,578073,0,0,1034096,991970
marchandises,0,20585378,18227891,19263088,0,0,14130531,18054021
clients_et_comptes_rattaches,0,4032808,5564578,4314238,0,0,5201968,4654836
autres_creances,0,168853,212042,157612,0,0,298232,437672
disponibilites,0,42528,13565,16116,0,0,358946,296428
charges_constatees_davance,0,222445,351177,7037,0,0,132113,75150
total_ii__actif_circulant,0,25052012,24369254,23758090,0,0,20121790,23518107
ecarts_de_conversion_actif,0,148080,333225,97409,0,0,258153,56224
total_general__actif,0,25637356,25189901,24433572,0,0,21414039,24566301
capital_social_ou_individuel,0,5000000,5000000,5000000,0,0,5000000,5000000
primes_demission_de_fusion_dapport,0,7135,7135,7135,0,0,7135,7135
ecarts_de_reevaluation,0,0,8,8,0,0,0,0
reserve_legale,0,107500,107500,107500,0,0,107500,107500
report_a_nouveau,0,-10565437,-7981745,-5339742,0,0,-1603608,-3164431
resultat_de_lexercice_benefice_ou_perte,0,-1781724,-2583692,-2642002,0,0,1102791,1560823
provisions_reglementees,0,3252571,3652732,2528333,0,0,648664,2009356
total_i__capital_social,0,-3979956,-1798070,-338778,0,0,5262481,5520382
provisions_pour_risques,0,717393,200000,200000,0,0,200000,200000
provisions_pour_charges,0,10706,429993,359154,0,0,60409,62241
total_iii__provisions,0,728099,629993,559154,0,0,260409,262241
emprunts_et_dettes_financieres_divers,0,25111149,21580294,21639456,0,0,12974421,16188900
dettes_fournisseurs_et_comptes_rattaches,0,3388753,4304975,2036285,0,0,1777412,1735725
dettes_fiscales_et_sociales,0,372306,417574,519722,0,0,744818,645659
dettes_sur_immobilisations_et_comptes_rattaches,0,0,0,13296,0,0,2421,0
autres_dettes,0,0,55136,4437,0,0,392077,213394
total_iv__dettes,0,28889213,26357978,24213196,0,0,15891149,18783678
total_general__passif,0,25637356,25189901,24433572,0,0,21414039,24566301
creances_rattachees_a_des_participations,0,0,0,0,0,0,0,0
prets,0,0,0,0,0,0,900,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,17005,0,0,0,0,0,0
autres_reserves,0,0,0,0,0,0,0,0
dettes_diverses,0,0,0,0,0,0,0,0
