Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,21556686,20965760,18250925,0,0,24121456,26182076
production_vendue_services,0,246773,238791,336216,0,0,230789,260562
chiffres_daffaires_nets,0,21803460,21204551,18587141,0,0,24352245,26442638
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,534125,512387,700510,0,0,756231,974901
autres_produits,0,37533,23652,85774,0,0,16750,12450
total_des_produits_dexploitation_i,0,22375117,21740590,19373426,0,0,25125225,27429989
achats_de_marchandises_y_compris_droits_de_douane,0,20718166,16764506,17883593,0,0,15510084,21708770
variation_de_stock_marchandises,0,-2537745,1147361,-1977265,0,0,4148922,-500698
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,9858,0,0,29376,22150
autres_achats_et_charges_externes,0,4133971,3269953,2048576,0,0,1979698,2456457
impots_taxes_et_versements_assimiles,0,25606,47178,45175,0,0,107794,133587
salaires_et_traitements,0,595697,650816,1004812,0,0,1663352,1688657
charges_sociales,0,279267,317491,475507,0,0,708365,750996
dot_dexploit__dotations_aux_amortissements,0,51816,94906,233594,0,0,80352,81660
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,357766,110968,453248,0,0,385853,458018
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,9229,8421,9476,0,0,18331,16923
autres_charges,0,102815,115465,154578,0,0,230656,226647
total_des_charges_dexploitation_ii,0,23736586,22527066,20341152,0,0,24862784,27043167
_resultat_dexploitation_i__ii,0,-1361469,-786475,-967726,0,0,262441,386822
autres_interets_et_produits_assimiles,0,0,18,198,0,0,1163,816
total_des_produits_financiers_v,0,0,18,198,0,0,1163,1007
interets_et_charges_assimilees,0,552529,346459,361214,0,0,405756,470793
total_des_charges_financieres_vi,0,552529,346463,361214,0,0,405756,471182
_resultat_financier_v__vi,0,-552529,-346445,-361016,0,0,-404593,-470175
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,-1913998,-1132920,-1328742,0,0,-142152,-83353
produits_exceptionnels_sur_operations_de_gestion,0,0,1026,0,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,0,15450,11000,29121,0,0,0,0
reprises_sur_provisions_et_transferts_de_charges,0,479400,434110,221119,0,0,1362346,2178305
total_des_produits_exceptionnels_vii,0,494850,446136,250240,0,0,1362346,2178305
charges_exceptionnelles_sur_operations_de_gestion,0,186500,246281,66493,0,0,115748,34818
charges_exceptionnelles_sur_operations_en_capital,0,1674,6727,29120,0,0,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,174402,1643901,1467888,0,0,1654,396567
total_des_charges_exceptionnelles_viii,0,362576,1896909,1563501,0,0,117402,431386
_resultat_exceptionnel_vii__viii,0,132274,-1450773,-1313261,0,0,1244943,1746920
total_des_produits_i__iii__v__vii,0,22869967,22186745,19623864,0,0,26488734,29609301
total_des_charges_ii__iv__vi__viii__ix__x,0,24651691,24770437,22265866,0,0,25385942,28048478
benefice_ou_perte_total_des_produits__total_des_charges,0,-1781724,-2583692,-2642002,0,0,1102791,1560823
differences_positives_de_change,0,0,0,0,0,0,0,191
differences_negatives_de_change,0,0,3,0,0,0,0,388
impots_sur_les_benefices,0,0,0,0,0,0,0,102744
