Libellé,2023,2022,2021,2020,2019,2018,2017,2016
frais_de_developpement_ou_de_recherche_et_developpement,0,0,0,0,0,326793,399185,0
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
fonds_commercial,0,0,0,0,0,15000,15000,0
constructions,0,0,0,0,0,27237,33586,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,1246,743,0
autres_immobilisations_corporelles,0,0,0,0,0,20104,2767,0
autres_participations,0,0,0,0,0,135736,65736,0
autres_immobilisations_financieres,0,0,0,0,0,75310,74095,0
total_i__immobilisations,0,0,0,0,0,601426,591111,0
marchandises,0,0,0,0,0,570854,531786,0
clients_et_comptes_rattaches,0,0,0,0,0,2037428,1688710,0
autres_creances,0,0,0,0,0,57469,42330,0
disponibilites,0,0,0,0,0,173083,321979,0
charges_constatees_davance,0,0,0,0,0,4179,3060,0
total_ii__actif_circulant,0,0,0,0,0,2843013,2587865,0
total_general__actif,0,0,0,0,0,3444439,3178976,0
capital_social_ou_individuel,0,0,0,0,0,7622,7622,0
reserve_legale,0,0,0,0,0,762,762,0
autres_reserves,0,0,0,0,0,2343894,2343894,0
report_a_nouveau,0,0,0,0,0,-873933,-953761,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,174492,79828,0
total_i__capital_social,0,0,0,0,0,1652838,1478346,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,1716507,1608958,0
dettes_fiscales_et_sociales,0,0,0,0,0,74251,91672,0
total_iv__dettes,0,0,0,0,0,1791602,1700630,0
total_general__passif,0,0,0,0,0,3444439,3178976,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,1791602,1700630,0
emprunts_et_dettes_financieres_divers,0,0,0,0,0,4,0,0
autres_dettes,0,0,0,0,0,841,0,0
