Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,5183989,4718590,0
production_vendue_services,0,0,0,0,0,4696,4233,0
chiffres_daffaires_nets,0,0,0,0,0,5188685,4722823,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,57878,16803,0
autres_produits,0,0,0,0,0,391,300,0
total_des_produits_dexploitation_i,0,0,0,0,0,5246953,4739926,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,4193908,3603708,0
variation_de_stock_marchandises,0,0,0,0,0,-39068,203577,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,37543,4317,0
autres_achats_et_charges_externes,0,0,0,0,0,393056,379893,0
impots_taxes_et_versements_assimiles,0,0,0,0,0,24746,17035,0
salaires_et_traitements,0,0,0,0,0,168476,155596,0
charges_sociales,0,0,0,0,0,58384,54527,0
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,96502,51243,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,283,149379,0
autres_charges,0,0,0,0,0,2338,2005,0
total_des_charges_dexploitation_ii,0,0,0,0,0,4936166,4621280,0
_resultat_dexploitation_i__ii,0,0,0,0,0,310787,118645,0
interets_et_charges_assimilees,0,0,0,0,0,26535,10309,0
total_des_charges_financieres_vi,0,0,0,0,0,26535,10309,0
_resultat_financier_v__vi,0,0,0,0,0,-26535,-10309,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,284252,108337,0
impots_sur_les_benefices,0,0,0,0,0,57180,28509,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,5246953,4739926,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,5072461,4660098,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,174492,79828,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,52580,0,0
total_des_charges_exceptionnelles_viii,0,0,0,0,0,52580,0,0
_resultat_exceptionnel_vii__viii,0,0,0,0,0,-52580,0,0
