Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
fonds_commercial,0,73938,73938,0,73938,0,0,0
constructions,0,0,7,0,299,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,11645,11836,0,0,0,0,0
autres_immobilisations_corporelles,0,2074,3020,0,3747,0,0,0
autres_participations,0,130,130,0,130,0,0,0
total_i__immobilisations,0,87787,88931,0,78114,0,0,0
marchandises,0,623012,584451,0,621377,0,0,0
clients_et_comptes_rattaches,0,1412,2,0,1819,0,0,0
autres_creances,0,40529,31218,0,45411,0,0,0
valeurs_mobilieres_de_placement,0,40,40,0,40,0,0,0
disponibilites,0,31610,133155,0,17255,0,0,0
charges_constatees_davance,0,19549,23487,0,19573,0,0,0
total_ii__actif_circulant,0,716152,772352,0,705475,0,0,0
total_general__actif,0,803938,861283,0,783589,0,0,0
capital_social_ou_individuel,0,87963,87963,0,87963,0,0,0
reserve_legale,0,8796,8796,0,8796,0,0,0
report_a_nouveau,0,230802,230802,0,305064,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,60038,126152,0,75720,0,0,0
total_i__capital_social,0,453751,453713,0,477543,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,64201,70220,0,18100,0,0,0
emprunts_et_dettes_financieres_divers,0,9431,33707,0,426,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,179283,185440,0,168316,0,0,0
dettes_fiscales_et_sociales,0,20735,24131,0,23339,0,0,0
autres_dettes,0,76537,94072,0,95864,0,0,0
total_iv__dettes,0,350188,407570,0,306045,0,0,0
total_general__passif,0,803938,861283,0,783589,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,306045,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,1358,0,0,18100,0,0,0
autres_reserves,0,66152,0,0,0,0,0,0
emprunts_participatifs,0,9431,33707,0,0,0,0,0
