Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,24798,6039,0,0,0,0,0,0
fonds_commercial,28700,28700,0,0,0,0,0,0
constructions,125800,135180,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,30965,40736,0,0,0,0,0,0
autres_immobilisations_corporelles,12058,17777,0,0,0,0,0,0
immobilisations_en_cours,10000,10000,0,0,0,0,0,0
autres_titres_immobilises,8069,8069,0,0,0,0,0,0
autres_immobilisations_financieres,1113,1083,0,0,0,0,0,0
total_i__immobilisations,241504,247585,0,0,0,0,0,0
marchandises,2475658,2308857,0,0,0,0,0,0
clients_et_comptes_rattaches,1082567,1056740,0,0,0,0,0,0
autres_creances,2117152,2158437,0,0,0,0,0,0
disponibilites,521109,1173238,0,0,0,0,0,0
charges_constatees_davance,21782,32119,0,0,0,0,0,0
total_ii__actif_circulant,6218269,6729391,0,0,0,0,0,0
total_general__actif,6459772,6976976,0,0,0,0,0,0
capital_social_ou_individuel,500000,500000,0,0,0,0,0,0
reserve_legale,50000,50000,0,0,0,0,0,0
autres_reserves,3471963,3471963,0,0,0,0,0,0
report_a_nouveau,210693,88046,0,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,78067,122647,0,0,0,0,0,0
total_i__capital_social,4310723,4232656,0,0,0,0,0,0
provisions_pour_charges,54882,100000,0,0,0,0,0,0
total_iii__provisions,54882,100000,0,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,1123359,1535374,0,0,0,0,0,0
emprunts_et_dettes_financieres_divers,31509,31191,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,539397,381860,0,0,0,0,0,0
dettes_fiscales_et_sociales,306381,466811,0,0,0,0,0,0
autres_dettes,93521,229085,0,0,0,0,0,0
total_iv__dettes,2094167,2644320,0,0,0,0,0,0
total_general__passif,6459772,6976976,0,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,1522001,0,0,0,0,0,0
emprunts_participatifs,31509,31191,0,0,0,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,435,0,0,0,0,0,0,0
