Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_biens,0,0,0,0,869956,739474,850664,1024797
production_vendue_services,0,0,0,0,877,1358,1569,5950
chiffres_daffaires_nets,0,0,0,0,870833,740833,852234,1030748
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,25717,49300,0,0
total_des_produits_dexploitation_i,0,0,0,0,896551,790133,852234,1030748
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,485780,467781,469086,547490
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,0,0,-98026,-115800,64969,48994
autres_achats_et_charges_externes,0,0,0,0,167997,162481,153289,172863
impots_taxes_et_versements_assimiles,0,0,0,0,6737,12012,8339,9365
salaires_et_traitements,0,0,0,0,163039,188820,161999,238309
charges_sociales,0,0,0,0,71320,55888,47973,79164
dot_dexploit__dotations_aux_amortissements,0,0,0,0,11254,9288,20903,6000
autres_charges,0,0,0,0,1018,6942,4547,0
total_des_charges_dexploitation_ii,0,0,0,0,809123,787415,931108,1104455
_resultat_dexploitation_i__ii,0,0,0,0,87428,2717,-78874,-73707
differences_positives_de_change,0,0,0,0,0,22,0,16
total_des_produits_financiers_v,0,0,0,0,0,22,0,37
interets_et_charges_assimilees,0,0,0,0,2126,1514,928,1038
total_des_charges_financieres_vi,0,0,0,0,2126,1514,928,1038
_resultat_financier_v__vi,0,0,0,0,-2126,-1492,-928,-1000
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,85301,1225,-79803,-74707
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,3339,229,1032,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,48,1,200096,14
total_des_produits_exceptionnels_vii,0,0,0,0,3388,231,201128,14
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,55346,159,3662,0
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,21,4,3,3
total_des_charges_exceptionnelles_viii,0,0,0,0,55367,164,3665,3
_resultat_exceptionnel_vii__viii,0,0,0,0,-51979,66,197463,10
total_des_produits_i__iii__v__vii,0,0,0,0,899939,790386,1053363,1030800
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,866617,789094,935702,1105497
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,33322,1291,117660,-74697
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,0,0,2267
produits_financiers_de_participations,0,0,0,0,0,0,0,21
