Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_incorporelles,1386191,0,3487243,4575151,0,43352,0,0
autres_immobilisations_corporelles,1038097,0,1393640,1231584,1539536,2016830,0,0
immobilisations_en_cours,5614474,0,1515,0,0,0,0,0
autres_immobilisations_financieres,431021,0,426611,427238,419113,409421,0,0
total_i__immobilisations,8469784,0,5309009,6233972,7601010,9195297,0,0
marchandises,2133106,0,1480068,2211374,2480980,2921561,0,0
avances_et_acomptes_verses_sur_commandes,0,0,14500,0,0,0,0,0
clients_et_comptes_rattaches,5924208,0,6111187,7689647,8933452,6710956,0,0
autres_creances,1516129,0,190238,260322,239152,205102,0,0
disponibilites,246443,0,2343,31219,114449,82153,0,0
charges_constatees_davance,502074,0,726830,917976,984356,1064710,0,0
total_ii__actif_circulant,10321960,0,8525167,11110537,12752389,10984481,0,0
total_general__actif,18791743,0,13834176,17344509,20353399,20179778,0,0
capital_social_ou_individuel,922600,0,922600,922600,922600,922600,0,0
reserve_legale,159710,0,159710,159710,159710,159710,0,0
reserves_reglementees,699886,0,699886,699886,699886,699886,0,0
report_a_nouveau,920516,0,-79500,6781,-376555,99827,0,0
resultat_de_lexercice_benefice_ou_perte,531291,0,301430,-86281,383336,-476382,0,0
total_i__capital_social,3234004,0,2004125,1702696,1788977,1405641,0,0
provisions_pour_risques,0,0,7776,600338,653600,882600,0,0
provisions_pour_charges,34996,0,154249,222362,212803,135812,0,0
total_iii__provisions,34996,0,162025,822700,866403,1018412,0,0
emprunts_et_dettes_financieres_divers,7818761,0,5882186,9147352,12131099,14065485,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,26592,0,0,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,5135132,0,3208081,3930440,4080837,2394946,0,0
dettes_fiscales_et_sociales,1579703,0,1292817,1018736,1127244,843344,0,0
autres_dettes,962556,0,1151470,722587,358550,451949,0,0
total_iv__dettes,15522744,0,11668025,14819114,17698019,17755725,0,0
total_general__passif,18791743,0,13834176,17344509,20353399,20179778,0,0
emprunts_participatifs,7818761,0,0,9147352,0,0,0,0
fonds_commercial,0,0,0,0,5642361,6725694,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,288,0,0,0
produits_constates_davance,0,0,133471,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,11588379,14819114,0,0,0,0
