Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,27858390,0,21490465,17896759,18478591,20977313,0,0
chiffres_daffaires_nets,27858390,0,21526939,17964898,18552145,21058947,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,116816,0,985704,822880,1082519,876666,0,0
autres_produits,3790781,0,3990691,4866913,6480904,4828826,0,0
total_des_produits_dexploitation_i,31765986,0,26503334,23654692,26115567,26764440,0,0
achats_de_marchandises_y_compris_droits_de_douane,14805356,0,11284968,10153619,9808149,12234613,0,0
variation_de_stock_marchandises,-210484,0,581893,208948,572981,-241287,0,0
autres_achats_et_charges_externes,9643043,0,7703300,6883702,8328562,8561244,0,0
impots_taxes_et_versements_assimiles,228073,0,201240,259775,254322,231467,0,0
salaires_et_traitements,3332084,0,3276104,2281817,2412277,2077581,0,0
charges_sociales,1481329,0,1282227,1183588,1170995,1086186,0,0
dot_dexploit__dotations_aux_amortissements,1757323,0,1644629,1764402,1798960,1874513,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,88781,0,100692,137614,28475,79357,0,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,34996,0,154249,748275,574175,750100,0,0
autres_charges,10409,0,5179,1924,399995,0,0,0
total_des_charges_dexploitation_ii,31170908,0,26234481,23623664,25348891,26653773,0,0
_resultat_dexploitation_i__ii,595078,0,268853,31028,766676,110667,0,0
autres_interets_et_produits_assimiles,0,0,0,16,0,0,0,0
total_des_produits_financiers_v,0,0,0,16,1194,15,0,0
interets_et_charges_assimilees,223432,0,1374,29694,64970,58524,0,0
differences_negatives_de_change,33,0,0,0,512,92,0,0
total_des_charges_financieres_vi,223465,0,1374,29694,65482,58616,0,0
_resultat_financier_v__vi,-223465,0,-1374,-29678,-64288,-58602,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,371613,0,267479,1350,702387,52065,0,0
produits_exceptionnels_sur_operations_de_gestion,56755,0,71251,1552,2825,32065,0,0
reprises_sur_provisions_et_transferts_de_charges,203000,0,66649,25000,53075,12500,0,0
total_des_produits_exceptionnels_vii,259755,0,308759,26552,55900,44565,0,0
charges_exceptionnelles_sur_operations_de_gestion,2494,0,36311,6212,4843,385107,0,0
charges_exceptionnelles_sur_operations_en_capital,0,0,208834,0,13229,57759,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,0,20000,212803,135812,0,0
total_des_charges_exceptionnelles_viii,2494,0,245145,26212,230875,578678,0,0
_resultat_exceptionnel_vii__viii,257261,0,63614,340,-174975,-534113,0,0
impots_sur_les_benefices,97583,0,29663,87972,144077,-5667,0,0
total_des_produits_i__iii__v__vii,32025741,0,26812093,23681261,26172661,26809019,0,0
total_des_charges_ii__iv__vi__viii__ix__x,31494450,0,26510663,23767542,25789325,27285401,0,0
benefice_ou_perte_total_des_produits__total_des_charges,531291,0,301430,-86281,383336,-476382,0,0
production_vendue_services,0,0,36473,68140,73554,81634,0,0
differences_positives_de_change,0,0,0,0,1194,15,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,170859,0,0,0,0,0
