Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,1182
constructions,0,0,0,0,0,0,0,1470
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,0,0,0,0,0,0,382
autres_immobilisations_financieres,0,0,0,0,0,0,0,76
total_i__immobilisations,0,0,0,0,0,0,0,3109
marchandises,0,0,0,0,0,0,0,301151
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,0,1097
clients_et_comptes_rattaches,0,0,0,0,0,0,0,115379
autres_creances,0,0,0,0,0,0,0,30011
disponibilites,0,0,0,0,0,0,0,450935
total_ii__actif_circulant,0,0,0,0,0,0,0,898573
total_general__actif,0,0,0,0,0,0,0,901682
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,0,0,0,0,0,0,0,40000
reserve_legale,0,0,0,0,0,0,0,4000
autres_reserves,0,0,0,0,0,0,0,485944
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,0,46773
total_i__capital_social,0,0,0,0,0,0,0,576717
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,0,220528
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,47488
dettes_fiscales_et_sociales,0,0,0,0,0,0,0,55286
autres_dettes,0,0,0,0,0,0,0,1663
total_iv__dettes,0,0,0,0,0,0,0,324965
total_general__passif,0,0,0,0,0,0,0,901682
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,0,324965
