Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,746832
production_vendue_services,0,0,0,0,0,0,0,8746
chiffres_daffaires_nets,0,0,0,0,0,0,0,755578
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,0,84431
autres_produits,0,0,0,0,0,0,0,264
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,840273
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,357766
variation_de_stock_marchandises,0,0,0,0,0,0,0,-3241
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,-1254
autres_achats_et_charges_externes,0,0,0,0,0,0,0,132568
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,2306
salaires_et_traitements,0,0,0,0,0,0,0,144449
charges_sociales,0,0,0,0,0,0,0,55381
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,3893
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,0,0,83796
autres_charges,0,0,0,0,0,0,0,170
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,775835
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,64438
interets_et_charges_assimilees,0,0,0,0,0,0,0,2654
total_des_charges_financieres_vi,0,0,0,0,0,0,0,2654
_resultat_financier_v__vi,0,0,0,0,0,0,0,-2654
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,61784
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,0,0,1200
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,1200
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,5484
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,5484
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,-4284
impots_sur_les_benefices,0,0,0,0,0,0,0,10727
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,841473
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,794700
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,46773
