Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,0,0,0,45735,45735,0,45734,45735
autres_immobilisations_incorporelles,0,0,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,125
autres_immobilisations_corporelles,0,0,0,54890,75925,0,131205,161102
autres_participations,0,0,0,0,0,0,27500,27500
autres_immobilisations_financieres,0,0,0,16350,16350,0,16650,16650
total_i__immobilisations,0,0,0,116974,138010,0,221090,251111
matieres_premieres_approvisionnements,0,0,0,250355,235802,0,222605,155107
marchandises,0,0,0,1818496,2104010,0,2722149,2687809
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,2794,73483
clients_et_comptes_rattaches,0,0,0,319981,325624,0,898506,1905548
autres_creances,0,0,0,91519,174867,0,473989,235219
disponibilites,0,0,0,601183,682673,0,749330,190381
charges_constatees_davance,0,0,0,17146,16503,0,4608,25612
total_ii__actif_circulant,0,0,0,3098679,3539479,0,5073984,5273158
ecarts_de_conversion_actif,0,0,0,17933,11135,0,8817,131893
total_general__actif,0,0,0,3233586,3688624,0,5303893,5656163
capital_social_ou_individuel,0,0,0,1000000,1000000,0,1000000,1000000
primes_demission_de_fusion_dapport,0,0,0,9486,9486,0,9486,9486
reserve_legale,0,0,0,99830,99830,0,99830,99830
autres_reserves,0,0,0,1438248,1438248,0,1438247,1438248
report_a_nouveau,0,0,0,-1794798,-1610527,0,-1301643,-222437
resultat_de_lexercice_benefice_ou_perte,0,0,0,-289594,-184271,0,16168,-1079206
total_i__capital_social,0,0,0,463172,752766,0,1262089,1245921
provisions_pour_risques,0,0,0,22934,29964,0,19817,142893
total_iii__provisions,0,0,0,22934,29964,0,19817,142893
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,1149,15240,0,119660,429135
emprunts_et_dettes_financieres_divers,0,0,0,20266,20266,0,156930,262331
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,65423
dettes_fournisseurs_et_comptes_rattaches,0,0,0,2540567,2222911,0,2913851,3361607
dettes_fiscales_et_sociales,0,0,0,32337,39101,0,98181,111821
dettes_sur_immobilisations_et_comptes_rattaches,0,0,0,0,0,0,0,34868
total_iv__dettes,0,0,0,2602613,2298847,0,3288624,4265186
dettes_diverses,0,0,0,144866,607047,0,733361,2164
total_general__passif,0,0,0,3233586,3688624,0,5303893,5656163
autres_dettes,0,0,0,6794,1329,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,2284974,0,0,4147315
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,1349,0,0,162361
produits_constates_davance,0,0,0,1500,0,0,0,0
emprunts_participatifs,0,0,0,20266,0,0,0,0
reserves_statutaires_ou_contractuelles,0,0,0,0,1,0,0,0
reserves_reglementees,0,0,0,0,1,0,0,0
