Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,3926898,5185404
production_vendue_services,0,0,0,0,0,0,99742,105930
chiffres_daffaires_nets,0,0,0,0,0,0,4026641,5291333
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,3257,0
autres_produits,0,0,0,0,0,0,9406,423
total_des_produits_dexploitation_i,0,0,0,0,0,0,4039304,5291756
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,2945781,3589849
variation_de_stock_marchandises,0,0,0,0,0,0,-34341,1022647
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,548,9182
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,0,0,0,0,-67498,81507
autres_achats_et_charges_externes,0,0,0,0,0,0,803832,932748
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,8726,31784
salaires_et_traitements,0,0,0,0,0,0,314838,381185
charges_sociales,0,0,0,0,0,0,122257,156512
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,30711,26726
autres_charges,0,0,0,0,0,0,5848,713
total_des_charges_dexploitation_ii,0,0,0,0,0,0,4130704,6232853
_resultat_dexploitation_i__ii,0,0,0,0,0,0,-91399,-941097
autres_interets_et_produits_assimiles,0,0,0,0,0,0,0,426
reprises_sur_provisions_et_transferts_de_charges,0,0,0,0,0,0,131892,15068
differences_positives_de_change,0,0,0,0,0,0,0,17410
total_des_produits_financiers_v,0,0,0,0,0,0,131892,32904
dotations_financieres_sur_amortissements_et_provisions,0,0,0,0,0,0,8817,131893
interets_et_charges_assimilees,0,0,0,0,0,0,7617,23168
differences_negatives_de_change,0,0,0,0,0,0,0,2530
total_des_charges_financieres_vi,0,0,0,0,0,0,16435,157591
_resultat_financier_v__vi,0,0,0,0,0,0,115457,-124687
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,24058,-1065784
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,1450
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,0,0,1500
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,2950
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,7889,5363
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,0,0,0,0,0,11010
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,7889,16373
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,-7889,-13422
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,4171197,5327610
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,4155028,6406816
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,16168,-1079206
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,0,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_en_capital,0,0,0,0,0,0,0,0
