Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,1233818,0,1026922,0,715130,0,0,0
chiffres_daffaires_nets,1233818,0,1026922,0,717718,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,3981,0,5622,0,1824,0,0,0
autres_produits,11,0,103,0,38,0,0,0
total_des_produits_dexploitation_i,1237810,0,1058355,0,719580,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,692834,0,648122,0,417873,0,0,0
variation_de_stock_marchandises,-77331,0,-102092,0,-61994,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,999,0,7259,0,5016,0,0,0
autres_achats_et_charges_externes,88660,0,71566,0,77928,0,0,0
impots_taxes_et_versements_assimiles,8305,0,8708,0,6380,0,0,0
salaires_et_traitements,112811,0,96080,0,77313,0,0,0
charges_sociales,42426,0,24322,0,21233,0,0,0
dot_dexploit__dotations_aux_amortissements,4887,0,5269,0,20161,0,0,0
autres_charges,4,0,168,0,2,0,0,0
total_des_charges_dexploitation_ii,873596,0,759400,0,563912,0,0,0
_resultat_dexploitation_i__ii,364214,0,298955,0,155668,0,0,0
autres_interets_et_produits_assimiles,624,0,1385,0,19,0,0,0
total_des_produits_financiers_v,624,0,1385,0,19,0,0,0
interets_et_charges_assimilees,2662,0,2375,0,1823,0,0,0
total_des_charges_financieres_vi,2662,0,2375,0,1823,0,0,0
_resultat_financier_v__vi,-2038,0,-990,0,-1804,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,362176,0,297965,0,153864,0,0,0
impots_sur_les_benefices,86723,0,72119,0,37618,0,0,0
total_des_produits_i__iii__v__vii,1238434,0,1059740,0,719599,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,962980,0,833894,0,603398,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,275453,0,225846,0,116201,0,0,0
subventions_dexploitation,0,0,25708,0,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,45,0,0,0
total_des_charges_exceptionnelles_viii,0,0,0,0,45,0,0,0
_resultat_exceptionnel_vii__viii,0,0,0,0,-45,0,0,0
production_vendue_services,0,0,0,0,2588,0,0,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,0
