Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,2160,1080,0,0,8426,0,0
installations_techniques_materiel_et_outillage_industriels,0,26877,1832,0,0,5933,0,0
autres_immobilisations_corporelles,0,70279,61848,0,0,32844,0,0
autres_participations,0,28053,28053,0,0,27400,0,0
creances_rattachees_a_des_participations,0,723601,723601,0,0,327400,0,0
autres_immobilisations_financieres,0,3348,3348,0,0,3348,0,0
total_i__immobilisations,0,854316,819761,0,0,405350,0,0
marchandises,0,2301263,2334619,0,0,4030847,0,0
avances_et_acomptes_verses_sur_commandes,0,-11401,1793,0,0,0,0,0
clients_et_comptes_rattaches,0,5392682,5202769,0,0,1813516,0,0
autres_creances,0,1124146,701200,0,0,1030699,0,0
disponibilites,0,1643667,1573069,0,0,343824,0,0
charges_constatees_davance,0,9833,12557,0,0,39264,0,0
total_ii__actif_circulant,0,10460190,9826007,0,0,7358150,0,0
ecarts_de_conversion_actif,0,0,137,0,0,137,0,0
total_general__actif,0,11314506,10645905,0,0,7763637,0,0
capital_social_ou_individuel,0,1002000,1002000,0,0,1002000,0,0
primes_demission_de_fusion_dapport,0,27479,27479,0,0,27479,0,0
reserve_legale,0,81226,45254,0,0,30708,0,0
report_a_nouveau,0,485829,152352,0,0,-219516,0,0
resultat_de_lexercice_benefice_ou_perte,0,340021,719449,0,0,26532,0,0
total_i__capital_social,0,1936555,1946534,0,0,867204,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,81437,100277,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,2731413,2997747,0,0,3868941,0,0
dettes_fournisseurs_et_comptes_rattaches,0,5253507,5030081,0,0,2761607,0,0
dettes_fiscales_et_sociales,0,372769,355336,0,0,209730,0,0
autres_dettes,0,938825,215931,0,0,56155,0,0
total_iv__dettes,0,9377951,8699371,0,0,6896433,0,0
total_general__passif,0,11314506,10645905,0,0,7763637,0,0
matieres_premieres_approvisionnements,0,0,0,0,0,0,0,0
valeurs_mobilieres_de_placement,0,0,0,0,0,100000,0,0
produits_constates_davance,0,0,0,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,0,0,0
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
