Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,262,754,1304,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,7232,11790,14064,17081,0,0,0
autres_immobilisations_financieres,0,6127,6127,6127,6127,0,0,0
total_i__immobilisations,0,13359,18178,20945,24512,0,0,0
marchandises,0,406607,424191,419402,355634,0,0,0
clients_et_comptes_rattaches,0,14065,24094,34299,17597,0,0,0
autres_creances,0,2463,4753,9799,16904,0,0,0
valeurs_mobilieres_de_placement,0,200,200,200,0,0,0,0
disponibilites,0,7401,8231,9084,3016,0,0,0
charges_constatees_davance,0,3112,2160,2019,5641,0,0,0
total_ii__actif_circulant,0,433847,463629,474803,398792,0,0,0
ecarts_de_conversion_actif,0,2052,1568,65,0,0,0,0
total_general__actif,0,449257,483375,495814,423304,0,0,0
capital_social_ou_individuel,0,7622,7622,7622,7622,0,0,0
reserve_legale,0,762,762,762,762,0,0,0
report_a_nouveau,0,43501,38803,37931,28653,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,20007,4699,871,9278,0,0,0
total_i__capital_social,0,71892,51886,47187,46316,0,0,0
provisions_pour_risques,0,2052,1568,65,0,0,0,0
total_iii__provisions,0,2052,1568,65,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,94939,111394,115217,17910,0,0,0
emprunts_et_dettes_financieres_divers,0,145219,169985,187060,218280,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,99713,111075,113734,108908,0,0,0
dettes_fiscales_et_sociales,0,32125,35920,31280,26593,0,0,0
autres_dettes,0,2833,1547,412,4397,0,0,0
total_iv__dettes,0,374830,429922,447704,376087,0,0,0
dettes_diverses,0,483,0,857,901,0,0,0
total_general__passif,0,449257,483375,495814,423304,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,307346,334982,338681,367943,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,678,0,0,0
emprunts_participatifs,0,145219,169985,187060,218280,0,0,0
