Libellé,2023,2022,2021,2020,2019,2018,2017,2016
frais_de_developpement_ou_de_recherche_et_developpement,0,7015,0,0,0,0,0,0
concessions_brevets_et_droits_similaires,0,1084218,0,0,0,1067143,0,0
fonds_commercial,0,336600,0,0,0,336600,0,0
installations_techniques_materiel_et_outillage_industriels,0,60105,0,0,0,8363,0,0
autres_immobilisations_corporelles,0,443519,0,0,0,24616,0,0
immobilisations_en_cours,0,175607,0,0,0,0,0,0
autres_participations,0,1443682,0,0,0,918788,0,0
creances_rattachees_a_des_participations,0,2142350,0,0,0,1439276,0,0
autres_titres_immobilises,0,152,0,0,0,132652,0,0
autres_immobilisations_financieres,0,40000,0,0,0,44100,0,0
total_i__immobilisations,0,5733253,0,0,0,3971542,0,0
matieres_premieres_approvisionnements,0,2875771,0,0,0,1134073,0,0
produits_intermediaires_et_finis,0,3665331,0,0,0,4783445,0,0
clients_et_comptes_rattaches,0,953048,0,0,0,2141819,0,0
autres_creances,0,178736,0,0,0,187258,0,0
disponibilites,0,178430,0,0,0,66831,0,0
charges_constatees_davance,0,406928,0,0,0,274327,0,0
total_ii__actif_circulant,0,8258246,0,0,0,8587754,0,0
total_general__actif,0,13991499,0,0,0,12559297,0,0
capital_social_ou_individuel,0,4081124,0,0,0,4081124,0,0
primes_demission_de_fusion_dapport,0,3630128,0,0,0,3630128,0,0
reserve_legale,0,330760,0,0,0,330760,0,0
autres_reserves,0,281013,0,0,0,281013,0,0
report_a_nouveau,0,-3738064,0,0,0,-3856283,0,0
resultat_de_lexercice_benefice_ou_perte,0,1454111,0,0,0,-1307021,0,0
total_i__capital_social,0,6039072,0,0,0,3159721,0,0
provisions_pour_risques,0,2510,0,0,0,10253,0,0
total_iii__provisions,0,2510,0,0,0,10253,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,1051768,0,0,0,200787,0,0
emprunts_et_dettes_financieres_divers,0,4670789,0,0,0,7668005,0,0
dettes_fournisseurs_et_comptes_rattaches,0,1419742,0,0,0,617124,0,0
dettes_fiscales_et_sociales,0,801590,0,0,0,397027,0,0
autres_dettes,0,6026,0,0,0,506377,0,0
total_iv__dettes,0,7949916,0,0,0,9389322,0,0
total_general__passif,0,13991499,0,0,0,12559297,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,3373485,0,0,0,2360587,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,755,0,0,0,18236,0,0
ecarts_de_conversion_actif,0,0,0,0,0,0,0,0
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
