Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,2213211,0,0
production_vendue_services,0,0,0,0,0,32681,0,0
chiffres_daffaires_nets,0,0,0,0,0,2245892,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,2456815,0,0
autres_produits,0,0,0,0,0,1880,0,0
total_des_produits_dexploitation_i,0,0,0,0,0,4704588,0,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,236423,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,581526,0,0
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,0,0,0,564911,0,0
autres_achats_et_charges_externes,0,0,0,0,0,875266,0,0
impots_taxes_et_versements_assimiles,0,0,0,0,0,20109,0,0
salaires_et_traitements,0,0,0,0,0,494349,0,0
charges_sociales,0,0,0,0,0,188993,0,0
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,122655,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,728637,0,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,0,0,0,0,10253,0,0
autres_charges,0,0,0,0,0,1749185,0,0
total_des_charges_dexploitation_ii,0,0,0,0,0,5572310,0,0
_resultat_dexploitation_i__ii,0,0,0,0,0,-867722,0,0
autres_interets_et_produits_assimiles,0,0,0,0,0,101,0,0
reprises_sur_provisions_et_transferts_de_charges,0,0,0,0,0,7622,0,0
differences_positives_de_change,0,0,0,0,0,9157,0,0
total_des_produits_financiers_v,0,0,0,0,0,16880,0,0
dotations_financieres_sur_amortissements_et_provisions,0,0,0,0,0,0,0,0
interets_et_charges_assimilees,0,0,0,0,0,136557,0,0
differences_negatives_de_change,0,0,0,0,0,12303,0,0
total_des_charges_financieres_vi,0,0,0,0,0,148860,0,0
_resultat_financier_v__vi,0,0,0,0,0,-131979,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,-999702,0,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,4253,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,833,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,5086,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,307485,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,0,0,0,0,4921,0,0
total_des_charges_exceptionnelles_viii,0,0,0,0,0,312406,0,0
_resultat_exceptionnel_vii__viii,0,0,0,0,0,-307319,0,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,4726555,0,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,6033577,0,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,-1307021,0,0
