Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,2353,0,0,0,0,0,0,0
fonds_commercial,60980,60980,60980,60980,60980,60980,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,14383,17833,21283,0,0
autres_immobilisations_corporelles,273636,141693,141799,350661,393217,419730,0,0
immobilisations_en_cours,133950,276830,0,0,0,0,0,0
autres_immobilisations_financieres,16894,16894,15600,600,600,600,0,0
total_i__immobilisations,487813,496396,218378,2763565,2934675,3097042,0,0
matieres_premieres_approvisionnements,20048,18739,18922,27808,32322,67058,0,0
marchandises,159534,73996,13313,92670,76304,369410,0,0
clients_et_comptes_rattaches,7141024,6006813,4932350,4628260,5151593,4432333,0,0
autres_creances,609508,569037,246452,304265,256979,518750,0,0
disponibilites,2754639,3325073,4443437,3259305,2299844,2578088,0,0
charges_constatees_davance,57981,55355,39837,19909,43637,23731,0,0
total_ii__actif_circulant,10742733,10049014,9694312,8332217,7860679,7989370,0,0
total_general__actif,11230546,10545410,9912690,11095782,10795354,11086412,0,0
capital_social_ou_individuel,3048980,3048980,3048980,3048980,3048980,3048980,0,0
primes_demission_de_fusion_dapport,83404,83404,83404,83404,83404,83404,0,0
reserve_legale,304898,304898,304898,304898,304898,304898,0,0
autres_reserves,813461,813461,813461,2813461,2813461,2813461,0,0
report_a_nouveau,904884,1057684,641394,-132445,-938311,-915032,0,0
resultat_de_lexercice_benefice_ou_perte,709802,847200,1416289,773839,805866,-23279,0,0
subventions_dinvestissement,3391,4311,0,0,0,0,0,0
total_i__capital_social,5868820,6159938,6308426,6892137,6118298,5312432,0,0
provisions_pour_charges,182499,145260,213730,200317,123242,96992,0,0
total_iii__provisions,182499,145260,213730,200317,123242,96992,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,3244,3179,2835,1089,2729,2162,0,0
dettes_fournisseurs_et_comptes_rattaches,2491681,1771226,1189526,1490017,2471153,3441106,0,0
dettes_fiscales_et_sociales,810255,751082,800721,1190024,904016,813525,0,0
autres_dettes,1874048,1714725,1387242,978413,983449,1416241,0,0
total_iv__dettes,5179227,4240212,3390534,4003328,4553814,5676988,0,0
total_general__passif,11230546,10545410,9912690,11095782,10795354,11086412,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,5179227,4240212,3380324,4001254,4549538,5673418,0,0
constructions,0,0,0,1651682,1776787,1909191,0,0
autres_participations,0,0,0,685258,0,685258,0,0
emprunts_et_dettes_financieres_divers,0,0,0,341711,188190,383,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,10210,2074,4276,3570,0,0
creances_rattachees_a_des_participations,0,0,0,0,685258,0,0,0
