Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,6601,1217,0,0,0
terrains,0,0,0,3513,3513,0,3513,0
constructions,0,0,0,926,1511,0,4051,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,48200,25349,0,21317,0
autres_immobilisations_corporelles,0,0,0,79891,60766,0,72107,0
autres_participations,0,0,0,1226,30626,0,29426,0
creances_rattachees_a_des_participations,0,0,0,268067,349006,0,302744,0
autres_immobilisations_financieres,0,0,0,37233,37200,0,37159,0
total_i__immobilisations,0,0,0,445655,509187,0,470316,0
marchandises,0,0,0,4460510,4326062,0,4269522,0
clients_et_comptes_rattaches,0,0,0,1278556,1306106,0,2200451,0
autres_creances,0,0,0,476088,576091,0,574980,0
disponibilites,0,0,0,708860,356892,0,20881,0
charges_constatees_davance,0,0,0,76148,69928,0,88755,0
total_ii__actif_circulant,0,0,0,7005162,6635080,0,7154589,0
ecarts_de_conversion_actif,0,0,0,201,888,0,16554,0
total_general__actif,0,0,0,7451018,7145156,0,7641459,0
capital_social_ou_individuel,0,0,0,800000,800000,0,800000,0
primes_demission_de_fusion_dapport,0,0,0,4836793,4836793,0,4836793,0
reserve_legale,0,0,0,80000,80000,0,80000,0
autres_reserves,0,0,0,723500,619500,0,549000,0
report_a_nouveau,0,0,0,446,25,0,381,0
resultat_de_lexercice_benefice_ou_perte,0,0,0,283485,104421,0,79978,0
total_i__capital_social,0,0,0,6724224,6440739,0,6346152,0
provisions_pour_risques,0,0,0,201,888,0,16554,0
total_iii__provisions,0,0,0,201,888,0,16554,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,250,158,0,365799,0
emprunts_et_dettes_financieres_divers,0,0,0,44585,48988,0,81763,0
dettes_fournisseurs_et_comptes_rattaches,0,0,0,163617,287758,0,293808,0
dettes_fiscales_et_sociales,0,0,0,475046,309479,0,437858,0
autres_dettes,0,0,0,42974,55928,0,87106,0
total_iv__dettes,0,0,0,726472,702311,0,1266334,0
dettes_diverses,0,0,0,121,1217,0,12420,0
total_general__passif,0,0,0,7451018,7145156,0,7641459,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,726472,702311,0,1292694,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,250,158,0,365799,0
valeurs_mobilieres_de_placement,0,0,0,5000,0,0,0,0
