Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,7203945,7071414,0,9640209,0
production_vendue_services,0,0,0,19353,19976,0,29200,0
chiffres_daffaires_nets,0,0,0,7223297,7091391,0,9669409,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,48454,52840,0,89760,0
autres_produits,0,0,0,0,2,0,7,0
total_des_produits_dexploitation_i,0,0,0,7271751,7144233,0,9759176,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,3572375,4114538,0,5494961,0
variation_de_stock_marchandises,0,0,0,-134448,-191914,0,304294,0
autres_achats_et_charges_externes,0,0,0,758246,727861,0,920276,0
impots_taxes_et_versements_assimiles,0,0,0,54360,77735,0,82281,0
salaires_et_traitements,0,0,0,1826139,1665434,0,1898310,0
charges_sociales,0,0,0,589752,594006,0,712204,0
dot_dexploit__dotations_aux_amortissements,0,0,0,35699,32187,0,34402,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,9596,7946,0,7029,0
autres_charges,0,0,0,10028,175,0,1,0
total_des_charges_dexploitation_ii,0,0,0,6721748,7027968,0,9453757,0
_resultat_dexploitation_i__ii,0,0,0,550003,116265,0,305420,0
autres_interets_et_produits_assimiles,0,0,0,6952,7026,0,-1,0
reprises_sur_provisions_et_transferts_de_charges,0,0,0,866,385,0,57875,0
differences_positives_de_change,0,0,0,11565,40977,0,21412,0
total_des_produits_financiers_v,0,0,0,19406,48387,0,81224,0
dotations_financieres_sur_amortissements_et_provisions,0,0,0,130540,51771,0,217388,0
interets_et_charges_assimilees,0,0,0,4754,3292,0,9507,0
differences_negatives_de_change,0,0,0,4568,15389,0,56357,0
total_des_charges_financieres_vi,0,0,0,189882,70452,0,283251,0
_resultat_financier_v__vi,0,0,0,-170476,-22064,0,-202027,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,379527,94201,0,103392,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,696,486,0,1542,0
total_des_produits_exceptionnels_vii,0,0,0,1696,486,0,1542,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,1146,309,0,1469,0
total_des_charges_exceptionnelles_viii,0,0,0,1146,309,0,1469,0
_resultat_exceptionnel_vii__viii,0,0,0,549,177,0,73,0
impots_sur_les_benefices,0,0,0,96591,-10043,0,23487,0
total_des_produits_i__iii__v__vii,0,0,0,7292853,7193106,0,9841942,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,7009367,7088686,0,9761964,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,283485,104421,0,79978,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,1000,0,0,0,0
