Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
fonds_commercial,0,454951,454951,0,0,0,0,0
autres_immobilisations_incorporelles,0,0,0,0,0,0,0,0
constructions,0,0,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,13273,17548,0,0,0,0,0
autres_immobilisations_financieres,0,32887,32887,0,0,0,0,0
total_i__immobilisations,0,501111,505386,0,0,0,0,1829232
marchandises,0,603039,580204,0,0,0,0,0
clients_et_comptes_rattaches,0,120663,156621,0,0,0,0,222799
autres_creances,0,2896,7999,0,0,0,0,138211
disponibilites,0,698858,698471,0,0,0,0,945
charges_constatees_davance,0,4629,934,0,0,0,0,0
total_ii__actif_circulant,0,1430085,1444229,0,0,0,0,365464
total_general__actif,0,1931196,1949615,0,0,0,0,2194696
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,0,616504,616504,0,0,0,0,616504
primes_demission_de_fusion_dapport,0,200254,200254,0,0,0,0,0
reserve_legale,0,61650,61650,0,0,0,0,61650
autres_reserves,0,1027000,1027000,0,0,0,0,1027000
report_a_nouveau,0,-253536,-229116,0,0,0,0,714
resultat_de_lexercice_benefice_ou_perte,0,-27653,-24420,0,0,0,0,-60850
total_i__capital_social,0,1624219,1651872,0,0,0,0,1645019
emprunts_et_dettes_financieres_divers,0,4294,16632,0,0,0,0,409551
avances_et_acomptes_recus_sur_commandes_en_cours,0,75999,84742,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,53120,31859,0,0,0,0,15904
dettes_fiscales_et_sociales,0,167090,151699,0,0,0,0,40223
autres_dettes,0,6474,12811,0,0,0,0,84000
total_iv__dettes,0,306978,297743,0,0,0,0,549677
total_general__passif,0,1931196,1949615,0,0,0,0,2194696
dettes_et_produits_constates_davance_a_moins_dun_an,0,306978,297743,0,0,0,0,549677
autres_participations,0,0,0,0,0,0,0,1829232
valeurs_mobilieres_de_placement,0,0,0,0,0,0,0,3508
