Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_services,0,0,0,0,0,0,0,101000
chiffres_daffaires_nets,0,0,0,0,0,0,0,101000
autres_produits,0,0,0,0,0,0,0,7
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,101007
autres_achats_et_charges_externes,0,0,0,0,0,0,0,62690
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,1209
salaires_et_traitements,0,0,0,0,0,0,0,30616
charges_sociales,0,0,0,0,0,0,0,13073
autres_charges,0,0,0,0,0,0,0,4
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,107597
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,-6590
produits_financiers_de_participations,0,0,0,0,0,0,0,0
autres_interets_et_produits_assimiles,0,0,0,0,0,0,0,3278
reprises_sur_provisions_et_transferts_de_charges,0,0,0,0,0,0,0,63
total_des_produits_financiers_v,0,0,0,0,0,0,0,3347
dotations_financieres_sur_amortissements_et_provisions,0,0,0,0,0,0,0,69
interets_et_charges_assimilees,0,0,0,0,0,0,0,7538
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,50000
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,50000
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,-50000
impots_sur_les_benefices,0,0,0,0,0,0,0,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,104354
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,165204
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,-60850
