Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,37500,37500,37500,37500,37500,37500,0,0
autres_immobilisations_incorporelles,0,0,0,1210,7848,16722,0,0
constructions,75863,80863,85863,90863,95863,0,0,0
installations_techniques_materiel_et_outillage_industriels,628,1248,1867,1735,0,0,0,0
autres_immobilisations_corporelles,4659,9992,14482,4597,8212,13434,0,0
autres_immobilisations_financieres,45505,36105,44736,21017,11709,11147,0,0
total_i__immobilisations,164155,165707,184448,156922,161131,78802,0,0
marchandises,3764592,3388367,3307071,2660831,3179930,2747230,0,0
clients_et_comptes_rattaches,1907739,1899294,1573156,1885749,1983954,1292366,0,0
autres_creances,37651,5146,40567,4815,5571,30199,0,0
disponibilites,822837,724512,1203476,1415350,287074,169596,0,0
charges_constatees_davance,25493,21948,17348,12418,11082,10403,0,0
total_ii__actif_circulant,6558312,6039268,6141618,5979163,5467612,4249795,0,0
ecarts_de_conversion_actif,0,0,9716,343,261,2929,0,0
total_general__actif,6722467,6204975,6335782,6136429,5629004,4331526,0,0
capital_social_ou_individuel,152449,152449,152449,152449,152449,152449,0,0
reserve_legale,15245,15245,15245,15245,15245,15245,0,0
autres_reserves,797259,797259,797259,797259,797259,797259,0,0
report_a_nouveau,2712117,3310547,2791709,2402607,2100547,1914033,0,0
resultat_de_lexercice_benefice_ou_perte,343402,401569,518838,389102,302060,186514,0,0
total_i__capital_social,4020471,4677070,4275500,3756662,3367560,3065500,0,0
provisions_pour_risques,0,0,9716,343,261,2854,0,0
total_iii__provisions,0,0,9716,343,261,2854,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,5258,165616,371653,762385,83997,118734,0,0
emprunts_et_dettes_financieres_divers,1877184,820278,1035892,1055572,1074228,185213,0,0
dettes_fournisseurs_et_comptes_rattaches,435988,181678,460882,312687,867768,808847,0,0
dettes_fiscales_et_sociales,380247,360333,181601,247026,229898,150379,0,0
total_iv__dettes,2698677,1527905,2050566,2377671,2255890,1263172,0,0
dettes_diverses,3319,0,0,1753,5293,0,0,0
total_general__passif,6722467,6204975,6335782,6136429,5629004,4331526,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,821492,1523021,0,2334227,2193505,1260644,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
autres_dettes,0,0,538,0,0,0,0,0
emprunts_participatifs,0,820278,1035892,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,373,529,0,0,0,0,0,0
