Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,2844,6849,0,10972,0,716,0,0
fonds_commercial,349500,349500,0,349500,0,349500,0,0
autres_immobilisations_incorporelles,0,0,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,9299,9747,0,4989,0,3473,0,0
autres_participations,19900,19900,0,25400,0,25400,0,0
creances_rattachees_a_des_participations,409585,327379,0,409919,0,412018,0,0
autres_immobilisations_financieres,0,0,0,0,0,30,0,0
total_i__immobilisations,791129,713375,0,800780,0,791138,0,0
marchandises,2130035,2120506,0,1401495,0,965983,0,0
clients_et_comptes_rattaches,527104,517623,0,60648,0,104139,0,0
autres_creances,46904,44490,0,1663,0,19803,0,0
disponibilites,3014,16526,0,405379,0,309083,0,0
charges_constatees_davance,0,29689,0,1170,0,26462,0,0
total_ii__actif_circulant,2709795,2728833,0,1870355,0,1425469,0,0
total_general__actif,3500924,3442208,0,2671135,0,2216607,0,0
capital_social_ou_individuel,165000,165000,0,165000,0,165000,0,0
reserve_legale,16500,16500,0,16500,0,16500,0,0
reserves_statutaires_ou_contractuelles,1581337,1276068,0,980690,0,870000,0,0
resultat_de_lexercice_benefice_ou_perte,115295,305270,0,85640,0,41991,0,0
total_i__capital_social,1878133,1762837,0,1247830,0,1067493,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,471908,521278,0,542941,0,256809,0,0
emprunts_et_dettes_financieres_divers,141832,170211,0,264799,0,335470,0,0
dettes_fournisseurs_et_comptes_rattaches,578762,641941,0,352437,0,348330,0,0
dettes_fiscales_et_sociales,160714,113070,0,145221,0,107681,0,0
autres_dettes,269575,232872,0,117906,0,100825,0,0
total_iv__dettes,1622791,1679371,0,1423304,0,1149114,0,0
total_general__passif,3500924,3442208,0,2671134,0,2216607,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,1465374,1496736,0,1089394,0,0,0,0
avances_et_acomptes_verses_sur_commandes,2737,0,0,0,0,0,0,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,113170,7360,0,0,0,0,0,0
report_a_nouveau,0,0,0,0,0,-25998,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,0,0,0,0,0,0
