Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,5775627,6016916,0,3822763,0,4363193,0,0
production_vendue_biens,0,0,0,0,0,0,0,0
production_vendue_services,148224,65826,0,170867,0,392760,0,0
chiffres_daffaires_nets,5923851,6082742,0,3993630,0,4755953,0,0
subventions_dexploitation,0,0,0,1500,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,5277,5700,0,28373,0,25215,0,0
autres_produits,1386,26,0,235,0,666,0,0
total_des_produits_dexploitation_i,5930514,6088468,0,4023738,0,4781834,0,0
achats_de_marchandises_y_compris_droits_de_douane,4883178,5481897,0,3764538,0,4159562,0,0
variation_de_stock_marchandises,-9529,-355195,0,-442567,0,-9663,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,2804,2895,0,1491,0,1499,0,0
autres_achats_et_charges_externes,493366,499190,0,343086,0,347882,0,0
impots_taxes_et_versements_assimiles,7435,13878,0,9090,0,11974,0,0
salaires_et_traitements,257917,222922,0,180960,0,172532,0,0
charges_sociales,51458,39848,0,33084,0,39914,0,0
dot_dexploit__dotations_aux_amortissements,7046,7967,0,3662,0,5276,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,15041,0,0,0,0,487,0,0
autres_charges,35,20,0,955,0,148,0,0
total_des_charges_dexploitation_ii,5708752,5913423,0,3894300,0,4729612,0,0
_resultat_dexploitation_i__ii,221763,175045,0,129438,0,52223,0,0
interets_et_charges_assimilees,52624,22610,0,14097,0,18141,0,0
total_des_charges_financieres_vi,52624,22663,0,14097,0,18141,0,0
_resultat_financier_v__vi,-50573,9836,0,-14097,0,-12246,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,171189,184881,0,115341,0,39977,0,0
produits_exceptionnels_sur_operations_en_capital,0,170005,0,30,0,5339,0,0
total_des_produits_exceptionnels_vii,0,170005,0,30,0,5339,0,0
charges_exceptionnelles_sur_operations_de_gestion,3714,435,0,3854,0,372,0,0
charges_exceptionnelles_sur_operations_en_capital,0,5500,0,30,0,5113,0,0
total_des_charges_exceptionnelles_viii,3714,5935,0,3884,0,5485,0,0
_resultat_exceptionnel_vii__viii,-3714,164070,0,-3854,0,-146,0,0
impots_sur_les_benefices,41282,36656,0,25847,0,-2160,0,0
total_des_produits_i__iii__v__vii,5932565,6290972,0,4023768,0,4793069,0,0
total_des_charges_ii__iv__vi__viii__ix__x,5817269,5985703,0,3938128,0,4751078,0,0
benefice_ou_perte_total_des_produits__total_des_charges,115295,305270,0,85640,0,41991,0,0
produits_financiers_de_participations,1910,32572,0,0,0,0,0,0
autres_interets_et_produits_assimiles,141,0,0,0,0,5895,0,0
differences_positives_de_change,0,-73,0,0,0,0,0,0
total_des_produits_financiers_v,2051,32499,0,0,0,5895,0,0
differences_negatives_de_change,0,54,0,0,0,0,0,0
participation_des_salaries_aux_resultats_de_lentreprise,10898,7025,0,0,0,0,0,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,0
