Libellé,2023,2022,2021,2020,2019,2018,2017,2016
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,0,0,0,0,0,0,0
autres_titres_immobilises,0,22,22,0,0,0,0,0
total_i__immobilisations,0,22,22,0,0,0,0,0
marchandises,0,547343,579869,0,0,0,0,0
clients_et_comptes_rattaches,0,122838,167907,0,0,0,0,0
autres_creances,0,137162,180880,0,0,0,0,0
disponibilites,0,170481,105161,0,0,0,0,0
total_ii__actif_circulant,0,977823,1033818,0,0,0,0,0
total_general__actif,0,977845,1033840,0,0,0,0,0
capital_social_ou_individuel,0,7622,7622,0,0,0,0,0
reserve_legale,0,762,762,0,0,0,0,0
autres_reserves,0,16234,16234,0,0,0,0,0
report_a_nouveau,0,35868,34064,0,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,51501,1805,0,0,0,0,0
total_i__capital_social,0,111988,60487,0,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,151533,158023,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,322971,111305,0,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,347261,676510,0,0,0,0,0
dettes_fiscales_et_sociales,0,33780,25873,0,0,0,0,0
autres_dettes,0,10313,1642,0,0,0,0,0
total_iv__dettes,0,865857,973353,0,0,0,0,0
total_general__passif,0,977845,1033840,0,0,0,0,0
dettes_et_produits_constates_davance_a_moins_dun_an,0,753479,821847,0,0,0,0,0
emprunts_participatifs,0,322971,111305,0,0,0,0,0
