Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,2953498
production_vendue_services,0,0,0,0,0,0,0,13415
chiffres_daffaires_nets,0,0,0,0,0,0,0,2966913
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,0,70154
autres_produits,0,0,0,0,0,0,0,2581
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,3039647
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,2250837
variation_de_stock_marchandises,0,0,0,0,0,0,0,-344478
autres_achats_et_charges_externes,0,0,0,0,0,0,0,483386
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,15229
salaires_et_traitements,0,0,0,0,0,0,0,181780
charges_sociales,0,0,0,0,0,0,0,72287
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,3526
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,0,0,47746
autres_charges,0,0,0,0,0,0,0,3434
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,2713747
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,325901
autres_interets_et_produits_assimiles,0,0,0,0,0,0,0,1291
differences_positives_de_change,0,0,0,0,0,0,0,11978
total_des_produits_financiers_v,0,0,0,0,0,0,0,13269
interets_et_charges_assimilees,0,0,0,0,0,0,0,16432
differences_negatives_de_change,0,0,0,0,0,0,0,11494
total_des_charges_financieres_vi,0,0,0,0,0,0,0,27926
_resultat_financier_v__vi,0,0,0,0,0,0,0,-14657
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,311244
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,10930
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,10930
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,10930
impots_sur_les_benefices,0,0,0,0,0,0,0,99810
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,3063847
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,2841483
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,222363
