Libellé,2023,2022,2021,2020,2019,2018,2017,2016
constructions,0,0,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,0,0,0,0,0,1366,2700
autres_immobilisations_financieres,0,0,0,0,0,0,3188,3230
total_i__immobilisations,0,0,0,0,0,0,4554,5930
matieres_premieres_approvisionnements,0,0,0,0,0,0,279563,287144
marchandises,0,0,0,0,0,0,983666,685133
clients_et_comptes_rattaches,0,0,0,0,0,0,137520,138136
autres_creances,0,0,0,0,0,0,50622,47717
disponibilites,0,0,0,0,0,0,31179,18510
charges_constatees_davance,0,0,0,0,0,0,100923,118291
total_ii__actif_circulant,0,0,0,0,0,0,1583474,1294930
total_general__actif,0,0,0,0,0,0,1590883,1300860
capital_social_ou_individuel,0,0,0,0,0,0,89100,100000
reserve_legale,0,0,0,0,0,0,8910,10000
report_a_nouveau,0,0,0,0,0,0,645457,720129
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,122167,4289
total_i__capital_social,0,0,0,0,0,0,865634,834418
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,26347,23999
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,23691,1079
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,594141,399879
dettes_fiscales_et_sociales,0,0,0,0,0,0,39850,39602
autres_dettes,0,0,0,0,0,0,20046,1884
total_iv__dettes,0,0,0,0,0,0,704075,466442
total_general__passif,0,0,0,0,0,0,1590883,1300860
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,704075,466442
ecarts_de_conversion_actif,0,0,0,0,0,0,2854,0
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
provisions_pour_risques,0,0,0,0,0,0,2854,0
total_iii__provisions,0,0,0,0,0,0,2854,0
dettes_diverses,0,0,0,0,0,0,18319,0
