Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,1227599,1042105
production_vendue_biens,0,0,0,0,0,0,77880,145838
production_vendue_services,0,0,0,0,0,0,72094,52029
chiffres_daffaires_nets,0,0,0,0,0,0,1377573,1239973
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,33930,4849
autres_produits,0,0,0,0,0,0,194,1157
total_des_produits_dexploitation_i,0,0,0,0,0,0,1411697,1245980
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,820544,603102
variation_de_stock_marchandises,0,0,0,0,0,0,-332960,-97523
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,44809,70056
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,0,0,0,0,3641,-214
autres_achats_et_charges_externes,0,0,0,0,0,0,361872,396085
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,20586,22572
salaires_et_traitements,0,0,0,0,0,0,175368,165502
charges_sociales,0,0,0,0,0,0,75196,73114
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,1334,1349
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,0,63930,2995
autres_charges,0,0,0,0,0,0,43501,219
total_des_charges_dexploitation_ii,0,0,0,0,0,0,1280674,1237257
_resultat_dexploitation_i__ii,0,0,0,0,0,0,131023,8722
differences_positives_de_change,0,0,0,0,0,0,19333,3716
total_des_produits_financiers_v,0,0,0,0,0,0,19333,3716
differences_negatives_de_change,0,0,0,0,0,0,8401,8150
total_des_charges_financieres_vi,0,0,0,0,0,0,9133,8150
_resultat_financier_v__vi,0,0,0,0,0,0,10201,-4433
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,141224,4289
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,12329,0
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,12329,0
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,-12205,0
impots_sur_les_benefices,0,0,0,0,0,0,6852,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,1431154,1249696
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,1308987,1245407
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,122167,4289
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,0,0,0,0,0,2854,0
interets_et_charges_assimilees,0,0,0,0,0,0,732,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,124,0
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,124,0
