Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,28133,51437,72082,17200,20478,15849,0
fonds_commercial,0,712157,712157,712157,712157,712157,712157,0
installations_techniques_materiel_et_outillage_industriels,0,552858,511456,297933,132192,144627,120374,0
autres_immobilisations_corporelles,0,1418235,1477171,628890,724230,820359,712118,0
immobilisations_en_cours,0,11499,0,0,110437,33692,12000,0
avances_et_acomptes,0,0,0,0,108400,73321,3518,0
autres_immobilisations_financieres,0,224315,237618,224409,182352,152883,127820,0
total_i__immobilisations,0,2947198,2989839,1935470,1986967,1957518,1703836,0
matieres_premieres_approvisionnements,0,5639583,10864986,7164289,2813507,1850337,1850469,0
produits_intermediaires_et_finis,0,4310419,3871762,3524695,3247777,2872952,2716983,0
marchandises,0,1441499,1288443,886427,776635,694465,686038,0
avances_et_acomptes_verses_sur_commandes,0,2236925,1445860,1264175,1388801,904888,1268052,0
clients_et_comptes_rattaches,0,17342704,13839216,15433486,15246775,12218889,13879332,0
autres_creances,0,1288160,1234384,311568,827512,1432940,4641833,0
disponibilites,0,4695391,3909765,134047,137457,566784,110002,0
charges_constatees_davance,0,339388,338843,330243,267125,262345,226563,0
total_ii__actif_circulant,0,37294069,36793259,29048931,24705590,20803600,25379273,0
ecarts_de_conversion_actif,0,2809,0,3118,1629,1570,29537,0
total_general__actif,0,40244075,39783098,30987520,26694187,22762689,27112645,0
capital_social_ou_individuel,0,7413696,7413696,7413696,7413696,7413696,7413696,0
primes_demission_de_fusion_dapport,0,11,11,11,11,11,11,0
ecarts_de_reevaluation,0,0,0,0,0,0,0,0
reserve_legale,0,741370,741370,741370,741370,741370,741370,0
reserves_reglementees,0,980,980,980,980,980,980,0
report_a_nouveau,0,4264989,4364024,4114635,3996638,3150198,2568567,0
resultat_de_lexercice_benefice_ou_perte,0,1641376,1652231,2749809,2122225,1848554,2079937,0
total_i__capital_social,0,14062422,14172313,15020501,14274920,13154809,12804560,0
provisions_pour_risques,0,584628,569619,391923,408295,246695,230795,0
provisions_pour_charges,0,1205103,1433732,1455149,1516616,1425703,1587387,0
total_iii__provisions,0,1789731,2003351,1847072,1924911,1672398,1818182,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,49097,45829,685910,861656,85366,2491513,0
emprunts_et_dettes_financieres_divers,0,106562,106562,100000,100000,100000,100000,0
dettes_fournisseurs_et_comptes_rattaches,0,20278279,7336059,5683951,5722529,4719933,5819751,0
dettes_fiscales_et_sociales,0,3548054,3337794,2917039,3199740,2503988,2937060,0
dettes_sur_immobilisations_et_comptes_rattaches,0,20001,37287,66392,81359,10589,15544,0
autres_dettes,0,381167,12743904,4666451,390197,126687,171137,0
produits_constates_davance,0,0,0,0,137990,388021,948934,0
total_iv__dettes,0,24383160,23607434,14119742,10493470,7934583,12483939,0
dettes_diverses,0,8763,0,204,886,899,5964,0
total_general__passif,0,40244075,39783098,30987520,26694187,22762689,27112645,0
