Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,943402291,612693420,472147828,362096806,308128554,351362160,0
production_vendue_services,0,4322629,3817972,3559542,3659457,3569509,3238101,0
chiffres_daffaires_nets,0,947724920,616511392,475707370,365756263,311698062,354600262,0
production_immobilisee,0,0,0,0,15028,9941,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,908492,512869,673172,301567,655420,737829,0
autres_produits,0,236999,198505,224996,154276,230228,138651,0
total_des_produits_dexploitation_i,0,948870412,617222766,476605538,366227134,312593652,355478532,0
achats_de_marchandises_y_compris_droits_de_douane,0,2553710,2831829,2193211,1916304,1543389,1385080,0
variation_de_stock_marchandises,0,-153056,-402016,-109792,-82170,-8427,76027,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,904617483,584779988,448794524,337090143,284236953,327830638,0
variation_de_stock_matieres_premieres_et_approvisionnements,0,4847374,-4071421,-4829211,-1369736,-26879,-160228,0
autres_achats_et_charges_externes,0,19702010,18189983,13840550,14443196,14176603,13742085,0
impots_taxes_et_versements_assimiles,0,709785,813447,654474,740590,578426,604665,0
salaires_et_traitements,0,6744502,6265278,5402931,5454511,5594298,5546550,0
charges_sociales,0,3001123,2828671,2612351,2517028,2597386,2544449,0
dot_dexploit__dotations_aux_amortissements,0,411023,356122,262962,236379,226774,222883,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,13891,93820,329001,105938,47780,36894,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,332522,541007,239365,402359,172044,224049,0
autres_charges,0,103388,120410,94602,103550,65967,141619,0
total_des_charges_dexploitation_ii,0,942883754,612347122,469484968,361558092,309204313,352194711,0
_resultat_dexploitation_i__ii,0,5986657,4875644,7120569,4669042,3389339,3283821,0
produits_financiers_de_participations,0,7,0,2038,1375,3140,1154,0
autres_interets_et_produits_assimiles,0,259629,258959,465339,612014,608341,501241,0
differences_positives_de_change,0,271843,126967,67301,106595,128554,72947,0
total_des_produits_financiers_v,0,531479,385926,534678,719983,740035,575343,0
interets_et_charges_assimilees,0,3781829,2703273,2605920,2050536,2066225,1556740,0
differences_negatives_de_change,0,211390,55075,507695,103209,115565,135978,0
total_des_charges_financieres_vi,0,3993218,2758348,3113616,2153745,2181790,1692718,0
_resultat_financier_v__vi,0,-3461739,-2372422,-2578937,-1433761,-1441755,-1117375,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,2524918,2503222,4541632,3235280,1947584,2166445,0
produits_exceptionnels_sur_operations_de_gestion,0,46403,685,203622,636035,645118,1307365,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,7583,0,0
reprises_sur_provisions_et_transferts_de_charges,0,0,183167,0,252300,0,0,0
total_des_produits_exceptionnels_vii,0,46403,183852,203622,888335,652701,1307365,0
charges_exceptionnelles_sur_operations_de_gestion,0,168748,109604,135264,432511,2394,25946,0
charges_exceptionnelles_sur_operations_en_capital,0,0,0,12427,246,14157,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,0,132833,83108,114228,31000,35900,53934,0
total_des_charges_exceptionnelles_viii,0,301581,192711,261919,463757,52451,79880,0
_resultat_exceptionnel_vii__viii,0,-255178,-8859,-58296,424578,600250,1227485,0
participation_des_salaries_aux_resultats_de_lentreprise,0,113971,146061,382073,324794,102519,303314,0
impots_sur_les_benefices,0,514394,696071,1351454,1212840,596761,1010679,0
total_des_produits_i__iii__v__vii,0,949448294,617792544,477343838,367835453,313986388,357361240,0
total_des_charges_ii__iv__vi__viii__ix__x,0,947806918,616140313,474594029,365713228,312137834,355281303,0
benefice_ou_perte_total_des_produits__total_des_charges,0,1641376,1652231,2749809,2122225,1848554,2079937,0
subventions_dexploitation,0,0,0,0,0,0,1790,0
