Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,3050,3050
autres_immobilisations_corporelles,0,0,0,0,0,0,13,163
autres_immobilisations_financieres,0,0,0,0,0,0,137,137
total_i__immobilisations,0,0,0,0,0,0,3200,3350
matieres_premieres_approvisionnements,0,0,0,0,0,0,64005,73288
marchandises,0,0,0,0,0,0,2330,-4270
clients_et_comptes_rattaches,0,0,0,0,0,0,2576,7313
autres_creances,0,0,0,0,0,0,6350,7407
disponibilites,0,0,0,0,0,0,1554,516
total_ii__actif_circulant,0,0,0,0,0,0,77061,84254
total_general__actif,0,0,0,0,0,0,80260,87603
capital_social_ou_individuel,0,0,0,0,0,0,66000,66000
reserve_legale,0,0,0,0,0,0,6449,4922
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,1066,1528
total_i__capital_social,0,0,0,0,0,0,73516,72449
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,46,83
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,743,743
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,3849,6745
dettes_fiscales_et_sociales,0,0,0,0,0,0,2347,3347
autres_dettes,0,0,0,0,0,0,-240,4237
total_iv__dettes,0,0,0,0,0,0,6745,15154
total_general__passif,0,0,0,0,0,0,80260,87603
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,6745,15154
avances_et_acomptes_verses_sur_commandes,0,0,0,0,0,0,245,0
