Libellé,2023,2022,2021,2020,2019,2018,2017,2016
production_vendue_biens,0,0,0,0,0,0,5795,9601
production_vendue_services,0,0,0,0,0,0,42745,41495
chiffres_daffaires_nets,0,0,0,0,0,0,48540,51096
autres_produits,0,0,0,0,0,0,2,3
total_des_produits_dexploitation_i,0,0,0,0,0,0,48542,51098
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,3302
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,0,0,0,0,2683,1845
autres_achats_et_charges_externes,0,0,0,0,0,0,41513,36792
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,672,515
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,150,150
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,0,0,0,0,0,6600
autres_charges,0,0,0,0,0,0,0,1
total_des_charges_dexploitation_ii,0,0,0,0,0,0,45019,49203
_resultat_dexploitation_i__ii,0,0,0,0,0,0,3524,1895
autres_interets_et_produits_assimiles,0,0,0,0,0,0,0,92
total_des_produits_financiers_v,0,0,0,0,0,0,0,92
interets_et_charges_assimilees,0,0,0,0,0,0,88,219
total_des_charges_financieres_vi,0,0,0,0,0,0,88,219
_resultat_financier_v__vi,0,0,0,0,0,0,-88,-128
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,3436,1767
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,590,941
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,590,941
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,2502,738
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,2502,738
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,-1913,203
impots_sur_les_benefices,0,0,0,0,0,0,457,442
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,49132,52131
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,48066,50603
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,1066,1528
