Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,46540629,48101317,0,0,33713009,0,0,0
production_vendue_biens,2108718,2172750,0,0,1245745,0,0,0
production_vendue_services,1358914,1250579,0,0,948810,0,0,0
chiffres_daffaires_nets,50008261,51524646,0,0,35907564,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,468842,463674,0,0,213903,0,0,0
autres_produits,109795,50494,0,0,46115,0,0,0
total_des_produits_dexploitation_i,50586897,52038814,0,0,36167582,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,20230957,20293399,0,0,12158513,0,0,0
variation_de_stock_marchandises,-690264,-1923701,0,0,-190691,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,246218,250468,0,0,217237,0,0,0
autres_achats_et_charges_externes,19158790,17868246,0,0,13996153,0,0,0
impots_taxes_et_versements_assimiles,345370,351626,0,0,353610,0,0,0
salaires_et_traitements,2307969,2236200,0,0,1902862,0,0,0
charges_sociales,1029619,981696,0,0,812292,0,0,0
dot_dexploit__dotations_aux_amortissements,924630,844210,0,0,680959,0,0,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,321293,252706,0,0,147813,0,0,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,0,0,0,43401,0,0,0
autres_charges,94636,104401,0,0,103792,0,0,0
total_des_charges_dexploitation_ii,43969218,41259251,0,0,30225941,0,0,0
_resultat_dexploitation_i__ii,6617679,10779562,0,0,5941641,0,0,0
reprises_sur_provisions_et_transferts_de_charges,651112,69185,0,0,1736456,0,0,0
differences_positives_de_change,0,0,0,0,0,0,0,0
total_des_produits_financiers_v,1594661,38173,0,0,100033,0,0,0
dotations_financieres_sur_amortissements_et_provisions,437579,185857,0,0,12540,0,0,0
interets_et_charges_assimilees,25265,28873,0,0,70993,0,0,0
differences_negatives_de_change,0,0,0,0,0,0,0,0
total_des_charges_financieres_vi,462844,214730,0,0,83533,0,0,0
_resultat_financier_v__vi,1131817,-176558,0,0,16500,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,7749496,10603005,0,0,5958141,0,0,0
produits_exceptionnels_sur_operations_de_gestion,112939,139431,0,0,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,1583,0,0,0
total_des_produits_exceptionnels_vii,578194,179634,0,0,1638006,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,147975,169600,0,0,405782,0,0,0
charges_exceptionnelles_sur_operations_en_capital,59439,390072,0,0,78266,0,0,0
dotations_exceptionnelles_aux_amortissements_et_provisions,460512,208142,0,0,339346,0,0,0
total_des_charges_exceptionnelles_viii,667927,767814,0,0,823394,0,0,0
_resultat_exceptionnel_vii__viii,-89732,-588180,0,0,814612,0,0,0
impots_sur_les_benefices,1575872,2805003,0,0,2260804,0,0,0
total_des_produits_i__iii__v__vii,52759753,52256621,0,0,37905621,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,46675861,45046798,0,0,33393671,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,6083892,7209822,0,0,4511949,0,0,0
produits_financiers_de_participations,1408804,9191,0,0,0,0,0,0
