Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,45665551,23021757,17219465,16457641,0,0,0,0
production_vendue_biens,564802,128363,89341,0,0,0,0,0
chiffres_daffaires_nets,46230353,23150120,17308807,16596991,0,0,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,-1116,2103,997,161349,0,0,0,0
autres_produits,10521,2345,1565,370,0,0,0,0
total_des_produits_dexploitation_i,46251092,23170569,17311370,16758711,0,0,0,0
achats_de_marchandises_y_compris_droits_de_douane,36457746,12859732,9228521,8985509,0,0,0,0
variation_de_stock_marchandises,-1953281,818404,263549,-601922,0,0,0,0
achats_de_matieres_premieres_et_autres_approvisionnements,35492,15583,28147,11253,0,0,0,0
autres_achats_et_charges_externes,5825665,5157771,3882479,4763731,0,0,0,0
impots_taxes_et_versements_assimiles,174812,94391,108546,126858,0,0,0,0
salaires_et_traitements,0,1995332,2028094,1766914,0,0,0,0
charges_sociales,3581585,782639,760311,737747,0,0,0,0
dot_dexploit__dotations_aux_amortissements,607468,534241,430320,277616,0,0,0,0
autres_charges,524,31047,191,360483,0,0,0,0
total_des_charges_dexploitation_ii,44730013,22297187,16730162,16428193,0,0,0,0
_resultat_dexploitation_i__ii,1521078,873382,581207,330518,0,0,0,0
autres_interets_et_produits_assimiles,0,0,0,1759,0,0,0,0
reprises_sur_provisions_et_transferts_de_charges,0,0,0,234416,0,0,0,0
total_des_produits_financiers_v,387,13,0,236175,0,0,0,0
interets_et_charges_assimilees,112520,73311,72059,89181,0,0,0,0
differences_negatives_de_change,1276,1160,165,0,0,0,0,0
total_des_charges_financieres_vi,113797,74471,72224,89181,0,0,0,0
_resultat_financier_v__vi,-113410,-74457,-72224,146994,0,0,0,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,1407668,798924,508982,477513,0,0,0,0
produits_exceptionnels_sur_operations_de_gestion,0,0,0,1416,0,0,0,0
produits_exceptionnels_sur_operations_en_capital,0,0,168381,0,0,0,0,0
total_des_produits_exceptionnels_vii,17726,0,168381,1416,0,0,0,0
charges_exceptionnelles_sur_operations_de_gestion,85471,179,138468,51422,0,0,0,0
charges_exceptionnelles_sur_operations_en_capital,0,0,122842,5154,0,0,0,0
total_des_charges_exceptionnelles_viii,85471,179,261310,56577,0,0,0,0
_resultat_exceptionnel_vii__viii,-67745,-179,-92929,-55160,0,0,0,0
total_des_produits_i__iii__v__vii,46269205,23170582,17479751,16996304,0,0,0,0
total_des_charges_ii__iv__vi__viii__ix__x,45006810,22354953,17063698,16573951,0,0,0,0
benefice_ou_perte_total_des_produits__total_des_charges,1262395,815629,416053,422352,0,0,0,0
production_vendue_services,0,0,0,139349,0,0,0,0
dot_dexploit__dotations_aux_provisions,0,0,0,0,0,0,0,0
dotations_financieres_sur_amortissements_et_provisions,0,0,0,0,0,0,0,0
subventions_dexploitation,11333,15999,0,0,0,0,0,0
impots_sur_les_benefices,77528,-16884,0,0,0,0,0,0
variation_de_stock_matieres_premieres_et_approvisionnements,0,8042,0,0,0,0,0,0
differences_positives_de_change,0,13,0,0,0,0,0,0
