Libellé,2023,2022,2021,2020,2019,2018,2017,2016
autres_immobilisations_incorporelles,657939,0,657939,657939,657939,0,0,0
autres_immobilisations_corporelles,0,0,0,0,0,0,0,0
autres_immobilisations_financieres,3789,0,3788,3788,3788,1288,1288,0
total_i__immobilisations,661728,0,661727,661727,661727,1288,1288,0
marchandises,217126,0,232421,365828,418395,479155,656800,0
avances_et_acomptes_verses_sur_commandes,1244952,0,0,0,0,0,0,0
clients_et_comptes_rattaches,729423,0,311446,1825419,32139,48876,156045,0
autres_creances,221121,0,1310731,177367,13315,2258,9993,0
disponibilites,1110540,0,280367,1253172,71568,332,0,0
charges_constatees_davance,452791,0,221348,155347,89906,911,2091,0
total_ii__actif_circulant,3975952,0,2356314,3777134,625324,531533,824929,0
total_general__actif,4637680,0,3018042,4438862,1287052,532821,826218,0
capital_social_ou_individuel,670000,0,670000,670000,670000,950000,950000,0
primes_demission_de_fusion_dapport,600,0,600,600,600,600,600,0
reserve_legale,38244,0,9366,9366,9366,9366,9366,0
autres_reserves,250634,0,250634,250634,250634,250634,250634,0
report_a_nouveau,792915,0,-53755,-454881,-666468,-1556312,-1440330,0
resultat_de_lexercice_benefice_ou_perte,114112,0,577561,401125,211587,-60155,-115982,0
total_i__capital_social,1866505,0,1454405,876844,475718,-405868,-345712,0
provisions_pour_risques,0,0,0,0,0,12579,39824,0
total_iii__provisions,0,0,0,0,0,12579,39824,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,449139,0,572369,277276,125066,129457,169023,0
dettes_fournisseurs_et_comptes_rattaches,1368374,0,685932,1246321,398698,502190,702217,0
dettes_fiscales_et_sociales,253255,0,142609,222590,26678,60480,17411,0
autres_dettes,700407,0,602,1815829,28265,28425,37896,0
total_iv__dettes,2771175,0,1563636,3562017,811333,926111,1132107,0
total_general__passif,4637680,0,3018042,4438862,1287052,532821,826218,0
dettes_et_produits_constates_davance_a_moins_dun_an,2476025,0,1075989,3362017,678833,793611,999607,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,29432,0,72305,73526,80066,54457,169023,0
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
emprunts_obligataires_convertibles,0,0,0,0,132500,132500,132500,0
emprunts_et_dettes_financieres_divers,0,0,0,0,100125,73058,73058,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,0,162121,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
