Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,8399217,8166105,3091348,491202,741747,0
production_vendue_biens,0,0,0,0,0,1294,0,0
production_vendue_services,0,0,30866,5435,3467,-1286,372,0
chiffres_daffaires_nets,0,0,8430083,8171541,3094815,491210,742119,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,60005,51056,67043,98639,93711,0
autres_produits,0,0,18840,264,19128,3377,698,0
total_des_produits_dexploitation_i,0,0,8508962,8222862,3180987,593227,836529,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,4049063,4061290,1407527,231398,200159,0
variation_de_stock_marchandises,0,0,104972,56162,62648,187010,345749,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,668,6734,1559,169,1520,0
autres_achats_et_charges_externes,0,0,3483821,3102560,1382400,26517,164809,0
impots_taxes_et_versements_assimiles,0,0,29957,10344,5954,1364,2153,0
salaires_et_traitements,0,0,31320,7830,0,23652,81857,0
charges_sociales,0,0,10174,2591,0,9792,29920,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,74232,60005,51056,49607,0,0
autres_charges,0,0,82181,44051,22759,10173,17861,0
total_des_charges_dexploitation_ii,0,0,7866393,7351571,2933907,539686,866514,0
_resultat_dexploitation_i__ii,0,0,642569,871290,247080,53541,-29984,0
autres_interets_et_produits_assimiles,0,0,289,138,123,0,0,0
differences_positives_de_change,0,0,10163,5643,909,0,0,0
total_des_produits_financiers_v,0,0,10453,5782,1033,0,0,0
interets_et_charges_assimilees,0,0,2449,2405,5311,4691,5044,0
differences_negatives_de_change,0,0,36969,53776,12034,0,0,0
total_des_charges_financieres_vi,0,0,39419,56182,17345,4691,5044,0
_resultat_financier_v__vi,0,0,-28965,-50400,-16312,-4691,-5044,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,613603,820890,230768,48849,-35029,0
produits_exceptionnels_sur_operations_de_gestion,0,0,20801,8565,1177,27518,9165,0
total_des_produits_exceptionnels_vii,0,0,20801,8565,1177,27518,9165,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,56844,428330,20358,136524,90118,0
total_des_charges_exceptionnelles_viii,0,0,56844,428330,20358,136524,90118,0
_resultat_exceptionnel_vii__viii,0,0,-36042,-419764,-19181,-109005,-80953,0
total_des_produits_i__iii__v__vii,0,0,8540218,8237210,3183198,620746,845695,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,7962657,7836084,2971611,680902,961677,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,577561,401125,211587,-60155,-115982,0
subventions_dexploitation,0,0,33,0,0,0,0,0
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,-5,0,0,0,0,0
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,482,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,0,0,0,0,0,22000,0
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,0,0,0
