Libellé,2023,2022,2021,2020,2019,2018,2017,2016
fonds_commercial,0,0,0,0,0,0,81000,81000
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,0,0,0,0,0,5417,5292
autres_immobilisations_financieres,0,0,0,0,0,0,3840,3727
total_i__immobilisations,0,0,0,0,0,0,90257,90019
marchandises,0,0,0,0,0,0,1275647,1120608
clients_et_comptes_rattaches,0,0,0,0,0,0,320193,436033
autres_creances,0,0,0,0,0,0,13428,12081
disponibilites,0,0,0,0,0,0,1183498,1062275
charges_constatees_davance,0,0,0,0,0,0,7317,0
total_ii__actif_circulant,0,0,0,0,0,0,2800083,2630998
total_general__actif,0,0,0,0,0,0,2890340,2721017
capital_social_ou_individuel,0,0,0,0,0,0,32014,32014
reserve_legale,0,0,0,0,0,0,3294,3294
report_a_nouveau,0,0,0,0,0,0,1495539,1388487
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,216188,107068
total_i__capital_social,0,0,0,0,0,0,1747036,1530863
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,122,0
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,239664,232183
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,577723,586738
dettes_fiscales_et_sociales,0,0,0,0,0,0,267976,312008
autres_dettes,0,0,0,0,0,0,57815,59226
total_iv__dettes,0,0,0,0,0,0,1143304,1190154
total_general__passif,0,0,0,0,0,0,2890340,2721017
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,1143304,1190154
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,0,122,0
