Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,3271138,3266632
chiffres_daffaires_nets,0,0,0,0,0,0,3271138,3266632
autres_produits,0,0,0,0,0,0,70378,10584
total_des_produits_dexploitation_i,0,0,0,0,0,0,3341517,3351784
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,3027991,3107427
variation_de_stock_marchandises,0,0,0,0,0,0,-155039,-87287
autres_achats_et_charges_externes,0,0,0,0,0,0,46692,50893
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,6644,5003
salaires_et_traitements,0,0,0,0,0,0,73929,70479
charges_sociales,0,0,0,0,0,0,27405,24651
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,1571,1339
autres_charges,0,0,0,0,0,0,-916,20441
total_des_charges_dexploitation_ii,0,0,0,0,0,0,3028278,3196413
_resultat_dexploitation_i__ii,0,0,0,0,0,0,313239,155371
interets_et_charges_assimilees,0,0,0,0,0,0,4471,4869
total_des_charges_financieres_vi,0,0,0,0,0,0,4471,6770
_resultat_financier_v__vi,0,0,0,0,0,0,-4471,-6770
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,308768,148601
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,137,0
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,137,0
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,-137,0
impots_sur_les_benefices,0,0,0,0,0,0,92443,41533
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,3341517,3351784
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,3125328,3244716
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,216188,107068
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,0,74568
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,3468
differences_negatives_de_change,0,0,0,0,0,0,0,1901
