Libellé,2023,2022,2021,2020,2019,2018,2017,2016
frais_de_developpement_ou_de_recherche_et_developpement,0,0,0,0,0,0,0,0
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,325
constructions,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,0,0,0,0,0,0,0,16240
immobilisations_en_cours,0,0,0,0,0,0,0,6913
total_i__immobilisations,0,0,0,0,0,0,0,23477
marchandises,0,0,0,0,0,0,0,281473
clients_et_comptes_rattaches,0,0,0,0,0,0,0,415182
autres_creances,0,0,0,0,0,0,0,23114
disponibilites,0,0,0,0,0,0,0,50961
charges_constatees_davance,0,0,0,0,0,0,0,0
total_ii__actif_circulant,0,0,0,0,0,0,0,770731
total_general__actif,0,0,0,0,0,0,0,794207
parts_a_plus_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,0,0,0,0,0,0,0,76225
report_a_nouveau,0,0,0,0,0,0,0,-29031
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,0,486
total_i__capital_social,0,0,0,0,0,0,0,47679
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,0,849
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,0,7115
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,661399
dettes_fiscales_et_sociales,0,0,0,0,0,0,0,70266
autres_dettes,0,0,0,0,0,0,0,6900
total_iv__dettes,0,0,0,0,0,0,0,746528
total_general__passif,0,0,0,0,0,0,0,794207
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,0,746528
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,0,0,849
