Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,1402929
production_vendue_services,0,0,0,0,0,0,0,12462
chiffres_daffaires_nets,0,0,0,0,0,0,0,1415391
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,0,0,0,0,0,7315
autres_produits,0,0,0,0,0,0,0,56
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,1422762
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,875762
variation_de_stock_marchandises,0,0,0,0,0,0,0,-24894
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,4255
autres_achats_et_charges_externes,0,0,0,0,0,0,0,241281
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,5588
salaires_et_traitements,0,0,0,0,0,0,0,261477
charges_sociales,0,0,0,0,0,0,0,90396
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,4220
autres_charges,0,0,0,0,0,0,0,114
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,1458200
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,-35438
interets_et_charges_assimilees,0,0,0,0,0,0,0,195
total_des_charges_financieres_vi,0,0,0,0,0,0,0,195
_resultat_financier_v__vi,0,0,0,0,0,0,0,-195
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,-35633
produits_exceptionnels_sur_operations_de_gestion,0,0,0,0,0,0,0,9009
produits_exceptionnels_sur_operations_en_capital,0,0,0,0,0,0,0,50
reprises_sur_provisions_et_transferts_de_charges,0,0,0,0,0,0,0,30000
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,39058
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,2940
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,2940
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,36119
impots_sur_les_benefices,0,0,0,0,0,0,0,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,1461820
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,1461334
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,486
