Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
fonds_commercial,0,0,0,0,0,0,0,87622
constructions,0,0,0,0,0,0,0,8783
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,10868
autres_immobilisations_corporelles,0,0,0,0,0,0,0,60
autres_participations,0,0,0,0,0,0,0,63000
autres_immobilisations_financieres,0,0,0,0,0,0,0,17013
total_i__immobilisations,0,0,0,0,0,0,0,187346
marchandises,0,0,0,0,0,0,0,549629
clients_et_comptes_rattaches,0,0,0,0,0,0,0,48996
autres_creances,0,0,0,0,0,0,0,116528
disponibilites,0,0,0,0,0,0,0,27700
total_ii__actif_circulant,0,0,0,0,0,0,0,742852
total_general__actif,0,0,0,0,0,0,0,930198
parts_a_moins_dun_an,0,0,0,0,0,0,0,0
capital_social_ou_individuel,0,0,0,0,0,0,0,7622
reserve_legale,0,0,0,0,0,0,0,762
report_a_nouveau,0,0,0,0,0,0,0,558101
resultat_de_lexercice_benefice_ou_perte,0,0,0,0,0,0,0,46799
total_i__capital_social,0,0,0,0,0,0,0,613284
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,0,0,0,0,110544
emprunts_et_dettes_financieres_divers,0,0,0,0,0,0,0,13092
dettes_fournisseurs_et_comptes_rattaches,0,0,0,0,0,0,0,98836
dettes_fiscales_et_sociales,0,0,0,0,0,0,0,7364
autres_dettes,0,0,0,0,0,0,0,87078
total_iv__dettes,0,0,0,0,0,0,0,316914
total_general__passif,0,0,0,0,0,0,0,930198
dettes_et_produits_constates_davance_a_moins_dun_an,0,0,0,0,0,0,0,316914
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,0,0,0,0,110544
