Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,3339043
production_vendue_services,0,0,0,0,0,0,0,63
chiffres_daffaires_nets,0,0,0,0,0,0,0,3339106
autres_produits,0,0,0,0,0,0,0,8762
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,3347867
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,2792976
variation_de_stock_marchandises,0,0,0,0,0,0,0,23235
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,0
autres_achats_et_charges_externes,0,0,0,0,0,0,0,405867
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,5087
salaires_et_traitements,0,0,0,0,0,0,0,37513
charges_sociales,0,0,0,0,0,0,0,10703
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,10999
autres_charges,0,0,0,0,0,0,0,6083
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,3292463
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,55404
produits_financiers_de_participations,0,0,0,0,0,0,0,0
autres_interets_et_produits_assimiles,0,0,0,0,0,0,0,2295
total_des_produits_financiers_v,0,0,0,0,0,0,0,2295
interets_et_charges_assimilees,0,0,0,0,0,0,0,9883
total_des_charges_financieres_vi,0,0,0,0,0,0,0,9883
_resultat_financier_v__vi,0,0,0,0,0,0,0,-7588
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,47816
charges_exceptionnelles_sur_operations_de_gestion,0,0,0,0,0,0,0,542
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,542
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,-542
impots_sur_les_benefices,0,0,0,0,0,0,0,475
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,3350162
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,3303363
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,46799
