Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,0,27569,39867,13785,0,0,0,0
fonds_commercial,0,381123,381123,381122,0,0,0,0
autres_immobilisations_incorporelles,0,0,0,0,0,0,0,0
installations_techniques_materiel_et_outillage_industriels,0,7583,8833,11292,0,0,0,0
autres_immobilisations_corporelles,0,108526,122014,131671,0,0,0,0
autres_immobilisations_financieres,0,159,159,159,0,0,0,0
total_i__immobilisations,0,524960,551996,538031,0,0,0,0
marchandises,0,1906336,1530635,1424605,0,0,0,0
avances_et_acomptes_verses_sur_commandes,0,0,0,2620,0,0,0,0
autres_creances,0,18821,166737,16057,0,0,0,0
disponibilites,0,787535,1036888,663009,0,0,0,0
charges_constatees_davance,0,72689,2231,6517,0,0,0,0
total_ii__actif_circulant,0,2789581,2736491,2112811,0,0,0,0
total_general__actif,0,3314542,3288488,2650843,0,0,0,0
capital_social_ou_individuel,0,670000,670000,670000,0,0,0,0
reserve_legale,0,67000,67000,67000,0,0,0,0
autres_reserves,0,1614653,1360122,1165113,0,0,0,0
resultat_de_lexercice_benefice_ou_perte,0,341924,314531,255008,0,0,0,0
total_i__capital_social,0,2693577,2411653,2157122,0,0,0,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,73828,392932,111926,0,0,0,0
emprunts_et_dettes_financieres_divers,0,95027,96638,69672,0,0,0,0
dettes_fournisseurs_et_comptes_rattaches,0,319742,247955,210318,0,0,0,0
dettes_fiscales_et_sociales,0,128718,138908,100802,0,0,0,0
autres_dettes,0,0,0,1000,0,0,0,0
total_iv__dettes,0,620964,876834,493720,0,0,0,0
total_general__passif,0,3314542,3288488,2650842,0,0,0,0
clients_et_comptes_rattaches,0,4200,0,0,0,0,0,0
avances_et_acomptes_recus_sur_commandes_en_cours,0,3650,400,0,0,0,0,0
