Libellé,2023,2022,2021,2020,2019,2018,2017,2016
concessions_brevets_et_droits_similaires,6857,0,18608,0,35366,18355,19672,0
fonds_commercial,45734,0,45735,0,45735,45735,45734,0
installations_techniques_materiel_et_outillage_industriels,5618,0,7750,0,0,0,0,0
autres_immobilisations_corporelles,204356,0,184756,0,240033,317247,369928,0
autres_immobilisations_financieres,348,0,348,0,348,348,348,0
total_i__immobilisations,286415,0,257198,0,321482,381685,435684,0
matieres_premieres_approvisionnements,5702,0,9204,0,15881,35595,40966,0
marchandises,682818,0,708507,0,585795,820980,810703,0
avances_et_acomptes_verses_sur_commandes,15708,0,0,0,0,35833,0,0
clients_et_comptes_rattaches,735086,0,529362,0,950548,1247820,993511,0
autres_creances,269319,0,227923,0,156680,224093,223026,0
disponibilites,364470,0,232173,0,32696,84866,49043,0
charges_constatees_davance,65564,0,17804,0,17244,13725,18307,0
total_ii__actif_circulant,2138670,0,1724973,0,1758846,2462912,2135559,0
total_general__actif,2425085,0,1982171,0,2080328,2844597,2571243,0
capital_social_ou_individuel,301200,0,301200,0,301200,301200,301200,0
reserve_legale,15000,0,15000,0,15000,15000,15000,0
autres_reserves,200000,0,200000,0,200000,200000,200000,0
report_a_nouveau,-177922,0,-205931,0,-271840,-266954,-265732,0
resultat_de_lexercice_benefice_ou_perte,-125042,0,67810,0,-1587,-4886,-1221,0
total_i__capital_social,213235,0,378079,0,242773,244360,249245,0
provisions_pour_risques,60559,0,45398,0,49676,54297,57934,0
provisions_pour_charges,85693,0,75099,0,64574,53238,47848,0
total_iii__provisions,146252,0,120497,0,114250,107535,105782,0
autres_emprunts_obligataires,0,0,4000,0,58000,94000,133000,0
emprunts_et_dettes_aupres_des_etablissements_de_credit,305416,0,287089,0,275152,486398,645995,0
emprunts_et_dettes_financieres_divers,192951,0,198011,0,212457,270674,51076,0
dettes_fournisseurs_et_comptes_rattaches,1049962,0,421575,0,416902,601095,491613,0
dettes_fiscales_et_sociales,389979,0,255070,0,164729,249932,252411,0
dettes_sur_immobilisations_et_comptes_rattaches,24629,0,15055,0,7339,10110,17719,0
autres_dettes,102658,0,302793,0,588727,780492,624400,0
total_iv__dettes,2065598,0,1483595,0,1723305,2492702,2216216,0
total_general__passif,2425085,0,1982171,0,2080328,2844597,2571243,0
dettes_et_produits_constates_davance_a_moins_dun_an,1990503,0,1292467,0,1632642,2301958,1971548,0
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,155874,0,4500,0,177246,353964,509162,0
autres_immobilisations_incorporelles,23500,0,0,0,0,0,0,0
avances_et_acomptes_sur_immobilisations_incorporelles,0,0,0,0,0,0,0,0
