Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,3776208,0,3028113,3552537,3408041,0
production_vendue_services,0,0,275055,0,154349,167119,138184,0
chiffres_daffaires_nets,0,0,4051263,0,3182462,3719656,3546225,0
production_immobilisee,0,0,0,0,0,118000,0,0
reprises_sur_amortissements_et_provisions_transfert_de_charges,0,0,149469,0,55381,115783,127205,0
autres_produits,0,0,236,0,193,211,1357,0
total_des_produits_dexploitation_i,0,0,4200968,0,3238037,3953649,3674787,0
achats_de_marchandises_y_compris_droits_de_douane,0,0,1331329,0,857855,1622692,1278087,0
variation_de_stock_marchandises,0,0,48393,0,248287,-10693,274023,0
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,83919,0,64276,73378,64171,0
variation_de_stock_matieres_premieres_et_approvisionnements,0,0,4497,0,19714,5372,38819,0
autres_achats_et_charges_externes,0,0,1411100,0,1044068,1177644,1012642,0
impots_taxes_et_versements_assimiles,0,0,46871,0,43750,44274,51059,0
salaires_et_traitements,0,0,693361,0,721352,702646,703219,0
charges_sociales,0,0,221022,0,237238,220849,217231,0
dot_dexploit__dotations_aux_amortissements,0,0,68620,0,126796,138839,145918,0
dot_dexploit_sur_actif_circulant__dotations_aux_provisions,0,0,60110,0,0,627,3787,0
dot_dexploit_pour_risques_et_charges__dotations_aux_provisions,0,0,13882,0,11336,5390,0,0
autres_charges,0,0,106281,0,91734,109143,79692,0
total_des_charges_dexploitation_ii,0,0,4089385,0,3466405,4090160,3868649,0
_resultat_dexploitation_i__ii,0,0,111583,0,-228368,-136511,-193862,0
differences_positives_de_change,0,0,43,0,7663,6540,18007,0
total_des_produits_financiers_v,0,0,51119,0,8921,6540,18007,0
interets_et_charges_assimilees,0,0,11514,0,18596,28386,33964,0
differences_negatives_de_change,0,0,143,0,3863,28637,9222,0
total_des_charges_financieres_vi,0,0,11656,0,22459,57024,43186,0
_resultat_financier_v__vi,0,0,39463,0,-13537,-50484,-25179,0
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,151046,0,-241905,-186995,-219040,0
produits_exceptionnels_sur_operations_de_gestion,0,0,4940,0,168596,21131,241477,0
produits_exceptionnels_sur_operations_en_capital,0,0,388,0,114500,300146,90,0
total_des_produits_exceptionnels_vii,0,0,5328,0,283096,321278,241567,0
charges_exceptionnelles_sur_operations_de_gestion,0,0,100118,0,21477,1486,23703,0
charges_exceptionnelles_sur_operations_en_capital,0,0,600,0,21301,137683,45,0
total_des_charges_exceptionnelles_viii,0,0,100718,0,42778,139169,23748,0
_resultat_exceptionnel_vii__viii,0,0,-95390,0,240318,182109,217819,0
total_des_produits_i__iii__v__vii,0,0,4257415,0,3530054,4281467,3934361,0
total_des_charges_ii__iv__vi__viii__ix__x,0,0,4189605,0,3531641,4286353,3935582,0
benefice_ou_perte_total_des_produits__total_des_charges,0,0,67810,0,-1587,-4886,-1221,0
autres_interets_et_produits_assimiles,0,0,51076,0,1258,0,0,0
impots_sur_les_benefices,0,0,-12154,0,0,0,0,0
dot_dexploit__dotations_aux_provisions,0,0,0,0,0,0,0,0
