Libellé,2023,2022,2021,2020,2019,2018,2017,2016
frais_detablissement,0,0,0,0,0,0,0,0
concessions_brevets_et_droits_similaires,0,0,0,0,0,0,0,0
terrains,0,0,0,0,0,0,0,3
installations_techniques_materiel_et_outillage_industriels,0,0,0,0,0,0,0,0
autres_immobilisations_corporelles,2325,7593,0,22831,0,0,0,11606
autres_participations,0,0,0,0,0,0,0,2000
creances_rattachees_a_des_participations,0,0,0,0,0,0,0,197926
autres_immobilisations_financieres,4069,4122,0,4009,0,0,0,6509
total_i__immobilisations,6394,11715,0,26840,0,0,0,218044
marchandises,5526,6713,0,0,0,0,0,117227
avances_et_acomptes_verses_sur_commandes,2280,770,0,200000,0,0,0,4371
clients_et_comptes_rattaches,257819,431535,0,278238,0,0,0,327911
autres_creances,19765,42561,0,20021,0,0,0,342150
disponibilites,296977,531404,0,322196,0,0,0,7089
charges_constatees_davance,3206,7167,0,9230,0,0,0,26272
total_ii__actif_circulant,585574,1020148,0,829685,0,0,0,825020
total_general__actif,591968,1031864,0,856525,0,0,0,1043064
capital_social_ou_individuel,7500,7500,0,7500,0,0,0,7500
reserve_legale,750,750,0,750,0,0,0,750
autres_reserves,330592,702449,0,451994,0,0,0,560228
resultat_de_lexercice_benefice_ou_perte,89619,128143,0,36596,0,0,0,-171
total_i__capital_social,428461,838842,0,496840,0,0,0,568307
emprunts_et_dettes_aupres_des_etablissements_de_credit,0,0,0,201885,0,0,0,648
dettes_fournisseurs_et_comptes_rattaches,70838,113433,0,72444,0,0,0,303824
dettes_fiscales_et_sociales,87262,75220,0,85059,0,0,0,170285
produits_constates_davance,0,0,0,0,0,0,0,0
total_iv__dettes,163502,193022,0,359685,0,0,0,474756
total_general__passif,591968,1031864,0,856525,0,0,0,1043064
dettes_et_produits_constates_davance_a_moins_dun_an,0,193022,0,159685,0,0,0,474756
concours_bancaires_courants_et_soldes_crediteurs_de_banques_et_ccp,0,0,0,1885,0,0,0,648
immobilisations_en_cours,0,0,0,0,0,0,0,0
autres_dettes,5407,4368,0,0,0,0,0,0
emprunts_et_dettes_financieres_divers,0,0,0,296,0,0,0,0
