Libellé,2023,2022,2021,2020,2019,2018,2017,2016
ventes_de_marchandises,0,0,0,0,0,0,0,1934049
production_vendue_biens,0,0,0,0,0,0,0,3328
chiffres_daffaires_nets,0,0,0,0,0,0,0,1937377
autres_produits,0,0,0,0,0,0,0,2518
total_des_produits_dexploitation_i,0,0,0,0,0,0,0,1939895
achats_de_marchandises_y_compris_droits_de_douane,0,0,0,0,0,0,0,872377
variation_de_stock_marchandises,0,0,0,0,0,0,0,65294
achats_de_matieres_premieres_et_autres_approvisionnements,0,0,0,0,0,0,0,14867
autres_achats_et_charges_externes,0,0,0,0,0,0,0,357386
impots_taxes_et_versements_assimiles,0,0,0,0,0,0,0,19030
salaires_et_traitements,0,0,0,0,0,0,0,391016
charges_sociales,0,0,0,0,0,0,0,139918
dot_dexploit__dotations_aux_amortissements,0,0,0,0,0,0,0,80835
autres_charges,0,0,0,0,0,0,0,1006
total_des_charges_dexploitation_ii,0,0,0,0,0,0,0,1941728
_resultat_dexploitation_i__ii,0,0,0,0,0,0,0,-1833
total_des_produits_financiers_v,0,0,0,0,0,0,0,4084
total_des_charges_financieres_vi,0,0,0,0,0,0,0,2421
_resultat_financier_v__vi,0,0,0,0,0,0,0,1663
_resultat_courant_avant_impots_i__ii__iii__iv__v__vi,0,0,0,0,0,0,0,-171
total_des_produits_exceptionnels_vii,0,0,0,0,0,0,0,0
total_des_charges_exceptionnelles_viii,0,0,0,0,0,0,0,0
_resultat_exceptionnel_vii__viii,0,0,0,0,0,0,0,0
impots_sur_les_benefices,0,0,0,0,0,0,0,0
total_des_produits_i__iii__v__vii,0,0,0,0,0,0,0,1943979
total_des_charges_ii__iv__vi__viii__ix__x,0,0,0,0,0,0,0,1944149
benefice_ou_perte_total_des_produits__total_des_charges,0,0,0,0,0,0,0,-171
